question	context	answer
What did Bell help his final student get rid of?	"Helping his father in Visible Speech demonstrations and lectures brought Bell to Susanna E. Hull's private school for the deaf in South Kensington, London. His first two pupils were ""deaf mute"" girls who made remarkable progress under his tutelage. While his older brother seemed to achieve success on many fronts including opening his own elocution school, applying for a patent on an invention, and starting a family, Bell continued as a teacher. However, in May 1870, Melville died from complications due to tuberculosis, causing a family crisis. His father had also suffered a debilitating illness earlier in life and had been restored to health by a convalescence in Newfoundland. Bell's parents embarked upon a long-planned move when they realized that their remaining son was also sickly. Acting decisively, Alexander Melville Bell asked Bell to arrange for the sale of all the family property,[N 8] conclude all of his brother's affairs (Bell took over his last student, curing a pronounced lisp), and join his father and mother in setting out for the ""New World"". Reluctantly, Bell also had to conclude a relationship with Marie Eccleston, who, as he had surmised, was not prepared to leave England with him."	lisp
What year did the Czech Republic lose in the final of Euro?	In the late 1990s and early 2000s, the IFAB experimented with ways of creating a winner without requiring a penalty shootout, which was often seen as an undesirable way to end a match. These involved rules ending a game in extra time early, either when the first goal in extra time was scored (golden goal), or if one team held a lead at the end of the first period of extra time (silver goal). Golden goal was used at the World Cup in 1998 and 2002. The first World Cup game decided by a golden goal was France's victory over Paraguay in 1998. Germany was the first nation to score a golden goal in a major competition, beating Czech Republic in the final of Euro 1996. Silver goal was used in Euro 2004. Both these experiments have been discontinued by IFAB.	1996
What is the use of a transistor?	A transistor is a semiconductor device used to amplify or switch electronic signals and electrical power. It is composed of semiconductor material with at least three terminals for connection to an external circuit. A voltage or current applied to one pair of the transistor's terminals changes the current through another pair of terminals. Because the controlled (output) power can be higher than the controlling (input) power, a transistor can amplify a signal. Today, some transistors are packaged individually, but many more are found embedded in integrated circuits.	to amplify or switch electronic signals and electrical power
When did Britain announce plans to withdraw from Palestine?	The British Mandate of Palestine, where an Arab majority lived alongside a Jewish minority, presented the British with a similar problem to that of India. The matter was complicated by large numbers of Jewish refugees seeking to be admitted to Palestine following the Holocaust, while Arabs were opposed to the creation of a Jewish state. Frustrated by the intractability of the problem, attacks by Jewish paramilitary organisations and the increasing cost of maintaining its military presence, Britain announced in 1947 that it would withdraw in 1948 and leave the matter to the United Nations to solve. The UN General Assembly subsequently voted for a plan to partition Palestine into a Jewish and an Arab state.	1947
What does Neptune's thermosphere containers traces of? 	For reasons that remain obscure, the planet's thermosphere is at an anomalously high temperature of about 750 K. The planet is too far from the Sun for this heat to be generated by ultraviolet radiation. One candidate for a heating mechanism is atmospheric interaction with ions in the planet's magnetic field. Other candidates are gravity waves from the interior that dissipate in the atmosphere. The thermosphere contains traces of carbon dioxide and water, which may have been deposited from external sources such as meteorites and dust.	carbon dioxide and water
Who funded the Polio vaccine?	During the years 1940-1955, the rate of decline in the U.S. death rate accelerated from 2% per year to 8% per year, then returned to the historical rate of 2% per year. The dramatic decline in the immediate post-war years has been attributed to the rapid development of new treatments and vaccines for infectious disease that occurred during these years. Vaccine development continued to accelerate, with the most notable achievement of the period being Jonas Salk's 1954 development of the polio vaccine under the funding of the non-profit National Foundation for Infantile Paralysis. The vaccine process was never patented, but was instead given to pharmaceutical companies to manufacture as a low-cost generic. In 1960 Maurice Hilleman of Merck Sharp & Dohme identified the SV40 virus, which was later shown to cause tumors in many mammalian species. It was later determined that SV40 was present as a contaminant in polio vaccine lots that had been administered to 90% of the children in the United States. The contamination appears to have originated both in the original cell stock and in monkey tissue used for production. In 2004 the United States Cancer Institute announced that it had concluded that SV40 is not associated with cancer in people.	National Foundation for Infantile Paralysis
How many helicopters came from the PLAAF?	By May 15, Premier Wen Jiabao ordered the deployment of an additional 90 helicopters, of which 60 were to be provided by the PLAAF, and 30 were to be provided by the civil aviation industry, bringing the total of number of aircraft deployed in relief operations by the air force, army, and civil aviation to over 150, resulting in the largest non-combat airlifting operation in People's Liberation Army history.	60
Which abbreviation can you append to your name after becoming Lighting Certified?	The National Council on Qualifications for the Lighting Professions (NCQLP) offers the Lighting Certification Examination which tests rudimentary lighting design principles. Individuals who pass this exam become ‘Lighting Certified’ and may append the abbreviation LC to their name. This certification process is one of three national (U.S.) examinations (the others are CLEP and CLMC) in the lighting industry and is open not only to designers, but to lighting equipment manufacturers, electric utility employees, etc.	LC
By what year did the Qin armies finish their conquest of Shu and Ba?	Qin armies finished their conquest of the kingdoms of Shu and Ba by 316 BC. Any written records and civil achievements of earlier kingdoms were destroyed. Qin administrators introduced improved agricultural technology. Li Bing, engineered the Dujiangyan irrigation system to control the Min River, a major tributary of the Yangtze. This innovative hydraulic system was composed of movable weirs which could be adjusted for high or low water flow according to the season, to either provide irrigation or prevent floods. The increased agricultural output and taxes made the area a source of provisions and men for Qin's unification of China.	316 BC
Between what land areas is Tuvalu located?	Tuvalu (i/tuːˈvɑːluː/ too-VAH-loo or /ˈtuːvəluː/ TOO-və-loo), formerly known as the Ellice Islands, is a Polynesian island nation located in the Pacific Ocean, midway between Hawaii and Australia. It comprises three reef islands and six true atolls spread out between the latitude of 5° to 10° south and longitude of 176° to 180°, west of the International Date Line. Its nearest neighbours are Kiribati, Nauru, Samoa and Fiji. Tuvalu has a population of 10,640 (2012 census). The total land area of the islands of Tuvalu is 26 square kilometres (10 sq mi).	Hawaii and Australia
What part of the Burmese population is considered not a part of the mainstream group?	British colonial rule introduced Western elements of culture to Burma. Burma's education system is modelled after that of the United Kingdom. Colonial architectural influences are most evident in major cities such as Yangon. Many ethnic minorities, particularly the Karen in the southeast and the Kachin and Chin who populate the north and northeast, practice Christianity. According to the The World Factbook, the Burman population is 68% and the ethnic groups constitute 32%. However, the exiled leaders and organisations claims that ethnic population is 40%, which is implicitly contrasted with CIA report (official US report).	ethnic groups constitute 32%
When did the Song dynasty reestablish unity around?	"The Song dynasty reëstablished unity around 960. Under the Song, the prosperity of South China began to overtake that of North China. After the north was lost to the Jurchen Jin dynasty in 1127 following the Jingkang Incident, Hangzhou became the capital of the Southern Song under the name Lin'an. Renowned for its prosperity and beauty, it may have been the largest city in the world at the time. From then on, north Zhejiang and neighboring south Jiangsu have been synonymous with luxury and opulence in Chinese culture. The Mongol conquest and the establishment of the Yuan dynasty in 1279 ended Hangzhou's political clout, but its economy continued to prosper. Marco Polo visited the city, which he called ""Kinsay"" (after the Chinese Jingshi, meaning ""Capital City"") claiming it was ""the finest and noblest city in the world""."	960
What is the dress code today at Buckingham?	Formerly, men not wearing military uniform wore knee breeches of an 18th-century design. Women's evening dress included obligatory trains and tiaras or feathers in their hair (or both). The dress code governing formal court uniform and dress has progressively relaxed. After World War I, when Queen Mary wished to follow fashion by raising her skirts a few inches from the ground, she requested a lady-in-waiting to shorten her own skirt first to gauge the king's reaction. King George V was horrified, so the queen kept her hemline unfashionably low. Following their accession in 1936, King George VI and his consort, Queen Elizabeth, allowed the hemline of daytime skirts to rise. Today, there is no official dress code. Most men invited to Buckingham Palace in the daytime choose to wear service uniform or lounge suits; a minority wear morning coats, and in the evening, depending on the formality of the occasion, black tie or white tie.	there is no official dress code
Good people skills is a qualification that is important to what profession?	Companies with limited resources may choose to engage in only a few of these activities, while larger organizations may employ a full spectrum of communications. Since it is difficult to develop such a broad range of skills, communications professionals often specialize in one or two of these areas but usually have at least a working knowledge of most of them. By far, the most important qualifications communications professionals can possess are excellent writing ability, good 'people' skills, and the capacity to think critically and strategically.	communications
What attractions are present at Hotel Yak & Yeti and the Hyatt Regency?	With the opening of the tourist industry after the change in the political scenario of Nepal in 1950, the hotel industry drastically improved. Now Kathmandu boasts several luxury such as the Hyatt Regency, Dwarika's, theYak & Yeti, The Everest Hotel, Hotel Radisson, Hotel De L'Annapurna, The Malla Hotel, Shangri-La Hotel (which is not operated by the Shangri-La Hotel Group) and The Shanker Hotel. There are several four-star hotels such as Hotel Vaishali, Hotel Narayani, The Blue Star and Grand Hotel. The Garden Hotel, Hotel Ambassador, and Aloha Inn are among the three-star hotels in Kathmandu. Hotels like Hyatt Regency, De L'Annapurna and Hotel Yak & Yeti are among the five-star hotels providing casinos as well.	casinos
Who would prefix Lady to their surnames?	"Knights Grand Cross and Knights Commander prefix Sir, and Dames Grand Cross and Dames Commander prefix Dame, to their forenames.[b] Wives of Knights may prefix Lady to their surnames, but no equivalent privilege exists for husbands of Knights or spouses of Dames. Such forms are not used by peers and princes, except when the names of the former are written out in their fullest forms. Clergy of the Church of England or the Church of Scotland do not use the title Sir or Dame as they do not receive the accolade (i.e., they are not dubbed ""knight"" with a sword), although they do append the post-nominal letters."	Wives of Knights
What is one of the historical certain facts about Jesus?	"The baptism of Jesus and his crucifixion are considered to be two historically certain facts about Jesus. James Dunn states that these ""two facts in the life of Jesus command almost universal assent"" and ""rank so high on the 'almost impossible to doubt or deny' scale of historical facts"" that they are often the starting points for the study of the historical Jesus. Bart Ehrman states that the crucifixion of Jesus on the orders of Pontius Pilate is the most certain element about him. John Dominic Crossan states that the crucifixion of Jesus is as certain as any historical fact can be. Eddy and Boyd state that it is now ""firmly established"" that there is non-Christian confirmation of the crucifixion of Jesus. Craig Blomberg states that most scholars in the third quest for the historical Jesus consider the crucifixion indisputable. Christopher M. Tuckett states that, although the exact reasons for the death of Jesus are hard to determine, one of the indisputable facts about him is that he was crucified."	baptism of Jesus
Who was discontinued in the Commonwealth realms?	Appointments to the Order of the British Empire were discontinued in those Commonwealth realms that established a national system of honours and awards such as the Order of Australia, the Order of Canada, and the New Zealand Order of Merit. In many of these systems, the different levels of award and honour reflect the Imperial system they replaced. Canada, Australia, and New Zealand all have (in increasing level of precedence) Members of, Officers of, and Companions to (rather than Commanders of) their respective orders, with both Australia and New Zealand having Knights and Dames as their highest classes.	Appointments to the Order of the British Empire
What in tobacco can hurt dogs?	A number of common human foods and household ingestibles are toxic to dogs, including chocolate solids (theobromine poisoning), onion and garlic (thiosulphate, sulfoxide or disulfide poisoning), grapes and raisins, macadamia nuts, xylitol, as well as various plants and other potentially ingested materials. The nicotine in tobacco can also be dangerous. Dogs can get it by scavenging in garbage or ashtrays; eating cigars and cigarettes. Signs can be vomiting of large amounts (e.g., from eating cigar butts) or diarrhea. Some other signs are abdominal pain, loss of coordination, collapse, or death. Dogs are highly susceptible to theobromine poisoning, typically from ingestion of chocolate. Theobromine is toxic to dogs because, although the dog's metabolism is capable of breaking down the chemical, the process is so slow that even small amounts of chocolate can be fatal, especially dark chocolate.	nicotine
Is the Apple SDK available to third-party game publishers?	The games are in the form of .ipg files, which are actually .zip archives in disguise[citation needed]. When unzipped, they reveal executable files along with common audio and image files, leading to the possibility of third party games. Apple has not publicly released a software development kit (SDK) for iPod-specific development. Apps produced with the iPhone SDK are compatible only with the iOS on the iPod Touch and iPhone, which cannot run clickwheel-based games.	not
How do servo motors differ from stepper motors?	"A servo system differs from some stepper motor applications in that the position feedback is continuous while the motor is running; a stepper system relies on the motor not to ""miss steps"" for short term accuracy, although a stepper system may include a ""home"" switch or other element to provide long-term stability of control. For instance, when a typical dot matrix computer printer starts up, its controller makes the print head stepper motor drive to its left-hand limit, where a position sensor defines home position and stops stepping. As long as power is on, a bidirectional counter in the printer's microprocessor keeps track of print-head position."	position feedback is continuous
What is the forming of gas bubbles in body fluids at a lowered pressure called?	Humans and animals exposed to vacuum will lose consciousness after a few seconds and die of hypoxia within minutes, but the symptoms are not nearly as graphic as commonly depicted in media and popular culture. The reduction in pressure lowers the temperature at which blood and other body fluids boil, but the elastic pressure of blood vessels ensures that this boiling point remains above the internal body temperature of 37 °C. Although the blood will not boil, the formation of gas bubbles in bodily fluids at reduced pressures, known as ebullism, is still a concern. The gas may bloat the body to twice its normal size and slow circulation, but tissues are elastic and porous enough to prevent rupture. Swelling and ebullism can be restrained by containment in a flight suit. Shuttle astronauts wore a fitted elastic garment called the Crew Altitude Protection Suit (CAPS) which prevents ebullism at pressures as low as 2 kPa (15 Torr). Rapid boiling will cool the skin and create frost, particularly in the mouth, but this is not a significant hazard.	ebullism
Who was influenced by Western European and Islamic tendencies?	The heyday of mosaic making in Sicily was the age of the independent Norman kingdom in the 12th century. The Norman kings adopted the Byzantine tradition of mosaic decoration to enhance the somewhat dubious legality of their rule. Greek masters working in Sicily developed their own style, that shows the influence of Western European and Islamic artistic tendencies. Best examples of Sicilian mosaic art are the Cappella Palatina of Roger II, the Martorana church in Palermo and the cathedrals of Cefalù and Monreale.	Greek masters working in Sicily
What percentage of recovery of bitumen is by oil wells?	The world's largest deposit of natural bitumen, known as the Athabasca oil sands is located in the McMurray Formation of Northern Alberta. This formation is from the early Cretaceous, and is composed of numerous lenses of oil-bearing sand with up to 20% oil. Isotopic studies attribute the oil deposits to be about 110 million years old. Two smaller but still very large formations occur in the Peace River oil sands and the Cold Lake oil sands, to the west and southeast of the Athabasca oil sands, respectively. Of the Alberta bitumen deposits, only parts of the Athabasca oil sands are shallow enough to be suitable for surface mining. The other 80% has to be produced by oil wells using enhanced oil recovery techniques like steam-assisted gravity drainage.	80%
How many of the vehicles will be used for training?	The Pentagon bought 25,000 MRAP vehicles since 2007 in 25 variants through rapid acquisition with no long-term plans for the platforms. The Army plans to divest 7,456 vehicles and retain 8,585. Of the total number of vehicles the Army will keep, 5,036 will be put in storage, 1,073 will be used for training, and the remainder will be spread across the active force. The Oshkosh M-ATV will be kept the most at 5,681 vehicles, as it is smaller and lighter than other MRAPs for off-road mobility. The other most retained vehicle will be the Navistar MaxxPro Dash with 2,633 vehicles, plus 301 Maxxpro ambulances. Thousands of other MRAPs like the Cougar, BAE Caiman, and larger MaxxPros will be disposed of.	1,073
Who hosted Essentials Jr. between 2009 and 2011?	"""Funday Night at the Movies"" was replaced in 2008 by ""Essentials Jr."", a youth-oriented version of its weekly series The Essentials (originally hosted by actors Abigail Breslin and Chris O'Donnell, then by John Lithgow from 2009 to 2011, and then by Bill Hader starting with the 2011 season), which included such family-themed films as National Velvet, Captains Courageous and Yours, Mine and Ours, as well as more eclectic selections as Sherlock, Jr., The Music Box, Harvey, Mutiny on the Bounty and The Man Who Knew Too Much."	John Lithgow
What did okugatasama mean?	Maintaining the household was the main duty of samurai women. This was especially crucial during early feudal Japan, when warrior husbands were often traveling abroad or engaged in clan battles. The wife, or okugatasama (meaning: one who remains in the home), was left to manage all household affairs, care for the children, and perhaps even defend the home forcibly. For this reason, many women of the samurai class were trained in wielding a polearm called a naginata or a special knife called the kaiken in an art called tantojutsu (lit. the skill of the knife), which they could use to protect their household, family, and honor if the need arose.	one who remains in the home
What is the Boston accent known as?	Boston shares many cultural roots with greater New England, including a dialect of the non-rhotic Eastern New England accent known as Boston English, and a regional cuisine with a large emphasis on seafood, salt, and dairy products. Irish Americans are a major influence on Boston's politics and religious institutions. Boston also has its own collection of neologisms known as Boston slang.	Boston English
How do minority leaders keep party priorities publicized?	"Minority leaders may engage in numerous activities to publicize their party's priorities and to criticize the opposition's. For instance, to keep their party colleagues ""on message,"" they insure that partisan colleagues are sent packets of suggested press releases or ""talking points"" for constituent meetings in their districts; they help to organize ""town meetings"" in Members' districts around the country to publicize the party's agenda or a specific priority, such as health care or education; they sponsor party ""retreats"" to discuss issues and assess the party's public image; they create ""theme teams"" to craft party messages that might be raised during the one-minute, morning hour, or special order period in the House; they conduct surveys of party colleagues to discern their policy preferences; they establish websites that highlight and distribute party images and issues to users; and they organize task forces or issue teams to formulate party programs and to develop strategies for communicating these programs to the public."	"""talking points"" for constituent meetings in their districts; they help to organize ""town meetings"""
What famous stuntman sued Kanye for purported use of his likeness in 2006?	"In December 2006, Robert ""Evel"" Knievel sued West for trademark infringement in West's video for ""Touch the Sky"". Knievel took issue with a ""sexually charged video"" in which West takes on the persona of ""Evel Kanyevel"" and attempts flying a rocket over a canyon. The suit claimed infringement on Knievel's trademarked name and likeness. Knievel also claimed that the ""vulgar and offensive"" images depicted in the video damaged his reputation. The suit sought monetary damages and an injunction to stop distribution of the video. West's attorneys argued that the music video amounted to satire and therefore was covered under the First Amendment. Just days before his death in November 2007, Knievel amicably settled the suit after being paid a visit from West, saying, ""I thought he was a wonderful guy and quite a gentleman."""	"Robert ""Evel"" Knievel"
Where was the priory of Poissy located?	"As heirs of the Dominican priory of Poissy in France, the Dartford sisters were also heirs to a tradition of profound learning and piety. Sections of translations of spiritual writings in Dartford's library, such as Suso's Little Book of Eternal Wisdom and Laurent du Bois' Somme le Roi, show that the ""ghoostli"" link to Europe was not lost in the crossing of the Channel. It survived in the minds of the nuns. Also, the nuns shared a unique identity with Poissy as a religious house founded by a royal house. The English nuns were proud of this heritage, and aware that many of them shared in England's great history as members of the noble class, as seen in the next chapter."	France
Who represents Tucson's city center in Congress?	In general, Tucson and Pima County support the Democratic Party, as opposed the state's largest metropolitan area, Phoenix, which usually supports the Republican Party. Congressional redistricting in 2013, following the publication of the 2010 Census, divided the Tucson area into three Federal Congressional districts (the first, second and third of Arizona). The city center is in the 3rd District, represented by Raul Grijalva, a Democrat, since 2003, while the more affluent residential areas to the south and east are in the 2nd District, represented by Republican Martha McSally since 2015, and the exurbs north and west between Tucson and Phoenix in the 3rd District are represented by Democrat Ann Kirkpatrick since 2008. The United States Postal Service operates post offices in Tucson. The Tucson Main Post Office is located at 1501 South Cherrybell Stravenue.	Raul Grijalva
What was the name of the auxiliary port used to connect additional devices on the Famicom?	A number of special controllers designed for use with specific games were released for the system, though very few such devices proved particularly popular. Such devices included, but were not limited to, the Zapper (a light gun), the R.O.B., and the Power Pad. The original Famicom featured a deepened DA-15 expansion port on the front of the unit, which was used to connect most auxiliary devices. On the NES, these special controllers were generally connected to one of the two control ports on the front of the console.	DA-15
When did Kerry consider running for president if Droney didn't?	Droney's health was poor and Kerry had decided to run for his position in the 1978 election should Droney drop out. However, Droney was re-elected and his health improved; he went on to re-assume many of the duties that he had delegated to Kerry. Kerry thus decided to leave, departing in 1979 with assistant DA Roanne Sragow to set up their own law firm. Kerry also worked as a commentator for WCVB-TV and co-founded a bakery, Kilvert & Forbes Ltd., with businessman and former Kennedy aide K. Dun Gifford.	1978
What was Unicode published as?	Unicode is a computing industry standard for the consistent encoding, representation, and handling of text expressed in most of the world's writing systems. Developed in conjunction with the Universal Coded Character Set (UCS) standard and published as The Unicode Standard, the latest version of Unicode contains a repertoire of more than 120,000 characters covering 129 modern and historic scripts, as well as multiple symbol sets. The standard consists of a set of code charts for visual reference, an encoding method and set of standard character encodings, a set of reference data files, and a number of related items, such as character properties, rules for normalization, decomposition, collation, rendering, and bidirectional display order (for the correct display of text containing both right-to-left scripts, such as Arabic and Hebrew, and left-to-right scripts). As of June 2015[update], the most recent version is Unicode 8.0. The standard is maintained by the Unicode Consortium.	The Unicode Standard
What type of system in still prominent to this day?	The relational model, first proposed in 1970 by Edgar F. Codd, departed from this tradition by insisting that applications should search for data by content, rather than by following links. The relational model employs sets of ledger-style tables, each used for a different type of entity. Only in the mid-1980s did computing hardware become powerful enough to allow the wide deployment of relational systems (DBMSs plus applications). By the early 1990s, however, relational systems dominated in all large-scale data processing applications, and as of 2015[update] they remain dominant : IBM DB2, Oracle, MySQL and Microsoft SQL Server are the top DBMS. The dominant database language, standardised SQL for the relational model, has influenced database languages for other data models.[citation needed]	relational systems
Obsidian is what type of glass?	Naturally occurring glass, especially the volcanic glass obsidian, has been used by many Stone Age societies across the globe for the production of sharp cutting tools and, due to its limited source areas, was extensively traded. But in general, archaeological evidence suggests that the first true glass was made in coastal north Syria, Mesopotamia or ancient Egypt. The earliest known glass objects, of the mid third millennium BCE, were beads, perhaps initially created as accidental by-products of metal-working (slags) or during the production of faience, a pre-glass vitreous material made by a process similar to glazing.	volcanic
In what year was the Empire State Building completed?	The 1916 Zoning Resolution required setbacks in new buildings, and restricted towers to a percentage of the lot size, to allow sunlight to reach the streets below. The Art Deco style of the Chrysler Building (1930) and Empire State Building (1931), with their tapered tops and steel spires, reflected the zoning requirements. The buildings have distinctive ornamentation, such as the eagles at the corners of the 61st floor on the Chrysler Building, and are considered some of the finest examples of the Art Deco style. A highly influential example of the international style in the United States is the Seagram Building (1957), distinctive for its façade using visible bronze-toned I-beams to evoke the building's structure. The Condé Nast Building (2000) is a prominent example of green design in American skyscrapers and has received an award from the American Institute of Architects as well as AIA New York State for its design.	1931
Who are two examples of the top football players born in Portugal?	Football is the most popular sport in Portugal. There are several football competitions ranging from local amateur to world-class professional level. The legendary Eusébio is still a major symbol of Portuguese football history. FIFA World Player of the Year winners Luís Figo and Cristiano Ronaldo who won the FIFA Ballon d'Or for 2013 and 2014, are among the numerous examples of other world-class football players born in Portugal and noted worldwide. Portuguese football managers are also noteworthy, with José Mourinho, André Villas-Boas, Fernando Santos, Carlos Queiroz and Manuel José among the most renowned.	Luís Figo and Cristiano Ronaldo
What synthetic product is produced by upgraders?	In Alberta, five bitumen upgraders produce synthetic crude oil and a variety of other products: The Suncor Energy upgrader near Fort McMurray, Alberta produces synthetic crude oil plus diesel fuel; the Syncrude Canada, Canadian Natural Resources, and Nexen upgraders near Fort McMurray produce synthetic crude oil; and the Shell Scotford Upgrader near Edmonton produces synthetic crude oil plus an intermediate feedstock for the nearby Shell Oil Refinery. A sixth upgrader, under construction in 2015 near Redwater, Alberta, will upgrade half of its crude bitumen directly to diesel fuel, with the remainder of the output being sold as feedstock to nearby oil refineries and petrochemical plants.	crude oil
What did the African American students at Harvard that could trace their lineage back multiple generations begin calling themselves?	"During a panel discussion at Harvard University's reunion for African American alumni during the 2003–04 academic year, two prominent black professors at the institution—Lani Guinier and Henry Louis Gates—pointed out an unintended effect of affirmative action policies at Harvard. They stated that only about a third of black Harvard undergraduates were from families in which all four grandparents were born into the African American community. The majority of black students at Harvard were Caribbean and African immigrants or their children, with some others the mixed-race children of biracial couples. One Harvard student, born in the South Bronx to a black family whose ancestors have been in the United States for multiple generations, said that there were so few Harvard students from the historic African American community that they took to calling themselves ""the descendants"" (i.e., descendants of American slaves). The reasons for this underrepresentation of historic African Americans, and possible remedies, remain a subject of debate."	the descendants
