text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9	raw_text
don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods	pickles	positive			selection of meats and seafoods	positive																				do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods
my suggestion is to eat family style because you'll want to try the other dishes	eat family style	positive																								my suggestion is to eat family style because you 'll want to try the other dishes
faan's got a great concept but a little rough on the delivery			great	rough																						faan 's got a great concept but a little rough on the delivery
from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat	food	positive	incredible	warm	atmosphere	positive	service	positive			friendly															from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat
great food at reasonable prices, makes for an evening that can't be beat!	food	positive	great	reasonable	prices	positive																				great food at reasonable prices , makes for an evening that ca n't be beat !
this little place has a cute interior deco r and affordable city prices	interior deco	positive	cute	affordable																						this little place has a cute interior deco r and affordable city prices
you'll adore it			adore																							you 'll adore it
the price is reasonable although the service is poor	price	positive	reasonable		service	negative																				the price is reasonable although the service is poor
worth visiting the 1st ave spot because it is the original store			worth																							worth visiting the 1st ave spot because it is the original store
i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action	sushi	neutral			sushi bar	neutral																				i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers , we sat at the sushi bar to be closer to the action
raga's is a romantic, cozy restaurant			romantic	cozy																						raga 's is a romantic , cozy restaurant
the fried rice is amazing here	fried rice	positive	amazing																							the fried rice is amazing here
three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world	courses	neutral	excellent	out of this world	mussels	positive	puff pastry goat cheese	positive	salad with a delicious dressing	positive		hanger steak au poivre	positive													three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world
it's a perfect place to have a amanzing indian food	indian food	positive	perfect																							it 's a perfect place to have a amanzing indian food
the place is so cool and the service is prompt and curtious	place	positive	cool	prompt	service	positive																				the place is so cool and the service is prompt and curtious
at the end you're left with a mild broth with noodles that you can slurp out of a cup	broth with noodles	positive	mild																							at the end you 're left with a mild broth with noodles that you can slurp out of a cup
i just wonder how you can have such a delicious meal for such little money	meal	positive	delicious	little																						i just wonder how you can have such a delicious meal for such little money
the food was delicious but do not come here on a empty stomach	food	conflict	delicious																							the food was delicious but do not come here on a empty stomach
the wine list is excellent	wine list	positive																								the wine list is excellent
ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course)	thai food	positive	best																							ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course )
they wouldnt even let me finish my glass of wine before offering another	glass of wine	neutral																								they wouldnt even let me finish my glass of wine before offering another
i highly recommend the sophia pizza			recommend																							i highly recommend the sophia pizza
whem asked, we had to ask more detailed questions so that we knew what the specials were	specials	neutral																								whem asked , we had to ask more detailed questions so that we knew what the specials were
nice atmosphere, the service was very pleasant and the desert was good	atmosphere	positive	nice	pleasant	service	positive	desert	positive																		nice atmosphere , the service was very pleasant and the desert was good
after really enjoying ourselves at the bar we sat down at a table and had dinner	bar	positive	enjoying		table	neutral																				after really enjoying ourselves at the bar we sat down at a table and had dinner
fabulous service, fantastic food, and a chilled out atmosphere and environment	service	positive	fabulous	fantastic	food	positive	atmosphere	positive			chilled out															fabulous service , fantastic food , and a chilled out atmosphere and environment
try the lasagnette appetizer	lasagnette appetizer	positive																								try the lasagnette appetizer
pricey, but worth a try, at least once			pricey	worth																						pricey , but worth a try , at least once
i liked the beer selection!	beer selection	positive	liked																							i liked the beer selection !
great food, good size menu, great service and an unpretensious setting	food	positive	great	good	menu	positive	service	positive			great															great food , good size menu , great service and an unpretensious setting
go here for a romantic dinner but not for an all out wow dining experience	dinner	positive	romantic	wow	dining	positive																				go here for a romantic dinner but not for an all out wow dining experience
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds	dosa	neutral																								i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds
wine list selection is good and wine-by-the-glass was generously filled to the top	wine list selection	positive	good	generously	wine-by-the-glass	positive																				wine list selection is good and wine-by-the-glass was generously filled to the top
with the great variety on the menu, i eat here often and never get bored	menu	positive	great																							with the great variety on the menu , i eat here often and never get bored
the menu is very limited - i think we counted 4 or 5 entrees	menu	negative	limited																							the menu is very limited - i think we counted 4 or 5 entrees
the menu is limited but almost all of the dishes are excellent	menu	negative	limited		dishes	positive																				the menu is limited but almost all of the dishes are excellent
not too crazy about their sake martini	sake martini	negative	crazy																							not too crazy about their sake martini
great bagels, spreads and a good place to hang out in	bagels	positive	great	good	spreads	positive																				great bagels , spreads and a good place to hang out in
this place is a great bargain			great																							this place is a great bargain
we happened upon this place purely by accident and were pleased with the results			pleased																							we happened upon this place purely by accident and were pleased with the results
unfortunately, the food is outstanding, but everything else about this restaurant is the pits	food	positive	outstanding																							unfortunately , the food is outstanding , but everything else about this restaurant is the pits
we always have a delicious meal and always leave feeling satisfied	meal	positive	delicious																							we always have a delicious meal and always leave feeling satisfied
dip the ingredients in with your chopsticks, swirl them around, and eat	ingredients	neutral			chopsticks	neutral																				dip the ingredients in with your chopsticks , swirl them around , and eat
first went here to enjoy their garden terrace	garden terrace	positive	enjoy																							first went here to enjoy their garden terrace
everyone i have spoken too there is super friendly, helpful, and willing to the extra mile for a customer			friendly	helpful																						everyone i have spoken too there is super friendly , helpful , and willing to the extra mile for a customer
the pizza was pretty good and huge	pizza	positive	good																							the pizza was pretty good and huge
the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei	cuisine	neutral	different																							the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones			best																							heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones
they are often crowded on the weekends but they are efficient and accurate with their service	crowded	negative	crowded	efficient							accurate															they are often crowded on the weekends but they are efficient and accurate with their service
we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat	grilled branzino	negative	difficult																							we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat
the wait staff is friendly, and the food has gotten better and better!	wait staff	positive	friendly	better	food	positive					better															the wait staff is friendly , and the food has gotten better and better !
right off the l in brooklyn this is a nice cozy place with good pizza	place	positive	cozy	good																						right off the l in brooklyn this is a nice cozy place with good pizza
i also ordered for delivery and the restaurant forgot half the order	delivery	negative	forgot																							i also ordered for delivery and the restaurant forgot half the order
the strong scents coming from the left and right of me negatively affected my taste buds	scents	negative	strong																							the strong scents coming from the left and right of me negatively affected my taste buds
we had the lobster sandwich and it was fantastic	lobster sandwich	positive																								we had the lobster sandwich and it was fantastic
had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!	check	negative																								had we been stalling i could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a check yet !
though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them	spider roll	conflict	challenge	well worth	shell crab	positive	price	positive																		though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them
i have tried to make reservations, but both times, the hostess didn't have my name	reservations	neutral			hostess	negative																				i have tried to make reservations , but both times , the hostess did n't have my name
their tuna tartar appetizer is to die for	tuna tartar appetizer	positive	die for																							their tuna tartar appetizer is to die for
this was one of the best restaurants i've ever been to			best																							this was one of the best restaurants i 've ever been to
an oasis of refinement food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups	food	conflict	uneven	evident	cuisine	positive	chef	positive	kitchen	positive		fish dishes	positive													an oasis of refinement food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups
i love indian food and consider myself to be quite an expert on it	indian food	positive	love																							i love indian food and consider myself to be quite an expert on it
some baby pizzas get their wish	baby pizzas	neutral																								some baby pizzas get their wish
plenty of choices to make your own creation			plenty																							plenty of choices to make your own creation
it was tiny and i felt like i was eating in someone's living room			tiny																							it was tiny and i felt like i was eating in someone 's living room
overall a oh ya even though there is waiting it is deff worth it	waiting	negative	worth																							overall a oh ya even though there is waiting it is deff worth it
vt is what baby pizzas hope to be when they grow up	baby pizzas	neutral																								vt is what baby pizzas hope to be when they grow up
from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible	service	negative	terrible	bland	food	negative	managers	negative			unaccommodating															from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible
lahore is a great place to duck into late-night when you need some really tasty food on the cheap--you'll likely have trouble finishing the amount of food you get for four dollars	food	positive	great	tasty	food	positive					cheap															lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for four dollars
the last time i went we were seated at a table in a corridor next to the kitchen	table	negative																								the last time i went we were seated at a table in a corridor next to the kitchen
good selection of wines ranging from affordable to high end	selection of wines	positive	good																							good selection of wines ranging from affordable to high end
nice restaurant overall, with classic upscale italian decor	italian decor	positive	nice	upscale																						nice restaurant overall , with classic upscale italian decor
the entire dining experience was wonderful!	dining experience	positive	wonderful																							the entire dining experience was wonderful !
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town	wine selection	positive	wonderful	recommend	reservation	neutral																				the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they 're going to be in town
service is highly refined our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress	service	positive	refined	delayed	reservation	negative	maitre	positive																		service is highly refined our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress
order the panang duck, it's fantastic	panang duck	positive																								order the panang duck , it 's fantastic
other than the crappy service from two individuals, it's great	service	negative	crappy																							other than the crappy service from two individuals , it 's great
they have authentic indian at amazin prices	indian	positive	authentic																							they have authentic indian at amazin prices
there's nice and quiet, small but enough for 6 (or more)			nice	quiet							small							enough								there 's nice and quiet , small but enough for 6 ( or more )
ambiance - relaxed and stylish	ambiance	positive	relaxed																							ambiance - relaxed and stylish
i've never felt more unwelcome than last month at jimmy's bronx cafe			unwelcome																							i 've never felt more unwelcome than last month at jimmy 's bronx cafe
luckily we saved room for the bbq salmon, sea bass and crispy duck	bbq salmon	positive			sea bass	positive	crispy duck	positive																		luckily we saved room for the bbq salmon , sea bass and crispy duck
yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right	ingredients	positive	fancy	fancy	ingredients	positive	pizza	negative	crust	neutral	good															yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right
and yes dal bukhara is so dam good and so are all the kababs	dal bukhara	positive	good																							and yes dal bukhara is so dam good and so are all the kababs
i look forward to eating here again	eating	positive	look forward																							i look forward to eating here again
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price	meal	positive	comfortable	good							fair															tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price
a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy	glass of leaping lizard	positive			glass of prosecco	positive	mussels	positive																		a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy
food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene	food	neutral	average	awful	creme brulee	negative	sugar	negative			charred															food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene
the food always tastes fresh and served promptly	food	positive	fresh		served	positive																				the food always tastes fresh and served promptly
the pizza here is delicious	pizza	positive																								the pizza here is delicious
pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!	pizza	positive	great	quick	garlic knots	positive	delivery	positive																		pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick !
for great chinese food nearby, you have wu liang ye and grand sichuan just a block away	chinese food	positive	great																							for great chinese food nearby , you have wu liang ye and grand sichuan just a block away
i have never been disappointed in the red eye			disappointed																							i have never been disappointed in the red eye
hats off to the chef			hats off																							hats off to the chef
service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience	service	negative	improved	antique-seeming	teapot	positive																				service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique-seeming teapot , for one ) in the restaurant experience
the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's	pizza	positive	delicious	fresh	fresh mozzarella	positive	cheese	negative			cheap							frozen	shredded							the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's
its an excellent place to relax and the food is one of the best in the city of new york	place	positive	excellent	best	food	positive																				its an excellent place to relax and the food is one of the best in the city of new york
service is friendly, and never had a problem walking in and getting a table	service	positive	friendly	problem	getting a table	positive																				service is friendly , and never had a problem walking in and getting a table
the food was bland oily	food	negative	bland oily																							the food was bland oily
what is even better, is that the prices are very affordable as well, and the food is really good	prices	positive	better	affordable	food	positive																				what is even better , is that the prices are very affordable as well , and the food is really good
the fish is fresh but the variety of fish is nothing out of ordinary	fish	positive	fresh		variety of fish	negative																				the fish is fresh but the variety of fish is nothing out of ordinary
and kruno, the beverage manager is the best bartender i have yet to come across	beverage manager	positive	best		bartender	positive																				and kruno , the beverage manager is the best bartender i have yet to come across
the food, drinks and service are clearly among the best in the city	food	positive	best		drinks	positive	service	positive																		the food , drinks and service are clearly among the best in the city
i went there in late afternoon for some bite size food and refleshment with my date	food	neutral			refleshment	neutral																				i went there in late afternoon for some bite size food and refleshment with my date
it's a really great deal, considering we got full off of four dollars			great																							it 's a really great deal , considering we got full off of four dollars
last time i went here, the waitress didn't come back after taking our order	waitress	negative																								last time i went here , the waitress did n't come back after taking our order
eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience	atmosphere	positive	saves	disappointing																						eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience
granted the space is smaller than most, it is the best service you will find in even the largest of restaurants	space	negative	smaller	best	service	positive																				granted the space is smaller than most , it is the best service you will find in even the largest of restaurants
have recommended the place to friends, always gets good response			recommended	good																						have recommended the place to friends , always gets good response
i love the atmorphere peep!	atmorphere	positive	love																							i love the atmorphere peep !
enjoy!			enjoy																							enjoy !
this is one of my favorite restaurants and it is not to be missed			favorite																							this is one of my favorite restaurants and it is not to be missed
the other night we had the 30 three course meal and everything was delicious - if i could of licked the plate clean i would of	three course meal	positive	delicious																							the other night we had the 30 three course meal and everything was delicious - if i could of licked the plate clean i would of
even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!	pizza	positive	outstanding																							even after getting pushed out by the no-class famous ray 's , sal has risen again to carry on his father 's uncle 's legacies with a smile , true love for his community , and let 's not forget the outstanding pizza !
it's a rather cramped and busy restaurant and it closes early			cramped	busy																						it 's a rather cramped and busy restaurant and it closes early
the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could	environment	positive	romantic	horrible	food	negative	service	negative			pathetic															the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could
we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well	crawfish boiled	positive	fun	tasty																						we had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well
what came to our table was burned beyond recognition and stringy	table	neutral	burned																							what came to our table was burned beyond recognition and stringy
i had the pad thai and the noodles were sticky	pad thai	negative			noodles	negative																				i had the pad thai and the noodles were sticky
so i've never actually been to m proper, but i've had it delivered a few times	delivered	neutral																								so i 've never actually been to m proper , but i 've had it delivered a few times
among all of the new 5th avenue restaurants, this offers by far one of the best values for your money	values for your money	positive	best																							among all of the new 5th avenue restaurants , this offers by far one of the best values for your money
frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison	lunch	positive																								frankly , when you compare what you can have here for lunch , versus mcds or so many other sandwich shops in the city , there is no comparison
the hostess is rude to the point of being offensive	hostess	negative	rude																							the hostess is rude to the point of being offensive
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill	steaks	positive	desired	leafy	salads	positive	sides	positive																		succulent steaks cooked precisely to your desired 'doneness ' accompanied by salads and sides that do n't look like leafy road kill
lunch came with pickels and slaw, no extra charge	lunch	positive			pickels and slaw	neutral																				lunch came with pickels and slaw , no extra charge
decent wine at reasonable prices	wine	positive	decent	reasonable																						decent wine at reasonable prices
all conveniently delivered right to the door	delivered	positive	conveniently																							all conveniently delivered right to the door
nice family owned traditional restaurant			nice																							nice family owned traditional restaurant
this dish is my favorite and i always get it when i go there and never get tired of it	dish	positive	favorite																							this dish is my favorite and i always get it when i go there and never get tired of it
i also ordered the change mojito, which was out of this world	change mojito	positive	out of this world																							i also ordered the change mojito , which was out of this world
okay service			okay																							okay service
the only thing more wonderful than the food (which is exceptional) is the service	food	positive	wonderful	exceptional																						the only thing more wonderful than the food ( which is exceptional ) is the service
the food was just awful, atrocious actually	food	negative	awful	atrocious																						the food was just awful , atrocious actually
the anti-pasta was excellent, especially the calamari, as were the filling pasta mains	anti-pasta	positive	excellent		calamari	positive	filling pasta mains	positive																		the anti-pasta was excellent , especially the calamari , as were the filling pasta mains
the waitress suggested glasses of wine that went very well with the food	waitress	positive	well		glasses of wine	positive																				the waitress suggested glasses of wine that went very well with the food
we are very particular about sushi and were both please with every choice which included ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura	sushi	positive	please		ceviche mix (special)	positive	crab dumplings	positive	assorted sashimi	positive		sushi	positive	rolls	positive	sake	positive			banana tempura	positive					we are very particular about sushi and were both please with every choice which included ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura
try their plain pizza with fresh garlic or eggplant	plain pizza	positive	fresh		garlic	positive																				try their plain pizza with fresh garlic or eggplant
ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get--it's fine, you just have to make a small effort to get their attention	servers	negative	clueless		servers	conflict																				ok , so the servers wander around a little clueless , but there 's more than enough servers for the crowd they get -- it 's fine , you just have to make a small effort to get their attention
good luck getting a table	getting a table	negative																								good luck getting a table
the service is awful	service	negative																								the service is awful
the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!	takeout menu	positive	expanded	more	menu	positive	italian dishes	positive																		the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i ca n't wait !
trust me, it will be great, and all of it will be devoured in no time			great																							trust me , it will be great , and all of it will be devoured in no time
amma has the worst value for money i have experienced in nyc over the past 2 years			worst																							amma has the worst value for money i have experienced in nyc over the past 2 years
i think this would be a pretty good spot if it were not so overpriced and overrated			good	overpriced																						i think this would be a pretty good spot if it were not so overpriced and overrated
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes	hostess	positive																								regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes
the pizza is good though	pizza	positive	good																							the pizza is good though
bottles of wine are cheap and good	bottles of wine	positive	cheap																							bottles of wine are cheap and good
you will not be disapointed at all			disapointed																							you will not be disapointed at all
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini	beers	positive	different	happy	food	positive	dish	positive	pumkin tortelini	positive	delicious							recommend								the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini
they didn't give us the dinner special until we asked for it	dinner special	negative																								they did n't give us the dinner special until we asked for it
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert	crabmeat lasagna	positive	out of this world		chocolate bread pudding	positive																				you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert
word of advice, save room for pasta dishes and never leave until you've had the tiramisu	pasta dishes	positive																								word of advice , save room for pasta dishes and never leave until you 've had the tiramisu
very good service and very good prices	service	positive	good	good																						very good service and very good prices
i recently went to this restaurant with some co-workers for lunch and had an amazing time	lunch	neutral	amazing																							i recently went to this restaurant with some co-workers for lunch and had an amazing time
the service was impeccable and unobtrusive--the staff knows what they are there to do--to know their menu, present your meal, and attend to your needs	service	positive	impeccable	unobtrusive	staff	positive	menu	neutral	meal	neutral																the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs
our food was great too!	food	positive	great																							our food was great too !
the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue	servers	negative	annoying																							the most annoying thing , though , is the fact that the servers seem to be trained to drive revenue
get your food to go, find a bench, and kick back with a plate of dumplings	food	neutral			plate of dumplings	positive																				get your food to go , find a bench , and kick back with a plate of dumplings
please try the filet mignon, its just the most tender piece ever	filet mignon	positive	tender																							please try the filet mignon , its just the most tender piece ever
everything we had was pretty good, but we have only been there once			good																							everything we had was pretty good , but we have only been there once
we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the 2 was gone the people next to us said the bartender took it	bar	neutral			sangria	neutral	bar	neutral	bartender	negative																we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the 2 was gone the people next to us said the bartender took it
the sake menu should not be overlooked!	sake menu	positive	overlooked																							the sake menu should not be overlooked !
the drinks are amazing and half off till 8pm	drinks	positive	amazing																							the drinks are amazing and half off till 8pm
i've been back to nha trang literally a hundred times for the beef cubes - they're that good	beef cubes	positive																								i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good
with so many poor experiences to be had in the theater district, is truly an excellent find!			excellent																							with so many poor experiences to be had in the theater district , is truly an excellent find !
this has got to be one of the most overrated restaurants in brooklyn			overrated																							this has got to be one of the most overrated restaurants in brooklyn
it was rather pathetic that it took them over an hour to seat us			pathetic																							it was rather pathetic that it took them over an hour to seat us
we were seated promptly as we had reservations, however after that the service was slow	reservations	positive	promptly		service	negative																				we were seated promptly as we had reservations , however after that the service was slow
suan was a recommendation that i am glad we heeded			glad																							suan was a recommendation that i am glad we heeded
the food was pretty good, but a little flavorless and the portions very small, including dessert	food	conflict	good	flavorless	portions	negative					small															the food was pretty good , but a little flavorless and the portions very small , including dessert
it is set far from the small street it's on, and there is no traffic noise	traffic noise	positive																								it is set far from the small street it 's on , and there is no traffic noise
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there	food	positive	comparable																							lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there
however, it's not worth a special trip			worth																							however , it 's not worth a special trip
nice value			nice																							nice value
and it was quick which is very important			quick																							and it was quick which is very important
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates	dinner meeting	neutral	nice	good																						this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates
all the nyu students love this place so it makes for a fun young atmosphere			love	young																						all the nyu students love this place so it makes for a fun young atmosphere
the food here does a great service to the name (cantonese that is)	food	positive	great		cantonese	positive																				the food here does a great service to the name ( cantonese that is )
but, nothing stands out about the cooking			nothing stands out																							but , nothing stands out about the cooking
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere	food	positive	cool	decent							colorful							relaxed								joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality)	prix fixe menu	positive	worth	more than enough	quantity	positive	quality	positive																		the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality )
i've been here 3 times for lunch and it is one of my favorites in the city	lunch	neutral	favorites																							i 've been here 3 times for lunch and it is one of my favorites in the city
i had their eggs benedict for brunch, which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was	eggs benedict	negative	worst	failed	brunch	neutral	hollondaise sauce	negative																		i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was
i work near-by, and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item	oatmeal	positive	best																							i work near-by , and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item
always busy but fast moving			busy	fast moving																						always busy but fast moving
the food was really good, i had the onion soup and it was one of the best ever	food	positive	good	best	onion soup	positive																				the food was really good , i had the onion soup and it was one of the best ever
