text	label_text
you end up simply admiring this bit or that , this performance or that .	neutral
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .	negative
analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .	neutral
there 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .	neutral
a fun ride .	positive
what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song .	neutral
an edgy thriller that delivers a surprising punch .	positive
` what 's the russian word for wow !? '	positive
you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible .	neutral
many shallower movies these days seem too long , but this one is egregiously short .	neutral
otto-sallies has a real filmmaker 's eye .	positive
lurid and less than lucid work .	negative
a portrait of an artist .	neutral
once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .	neutral
with a confrontational stance , todd solondz takes aim on political correctness and suburban families .	neutral
many of the effective horror elements are dampened through familiarity , -lrb- yet -rrb- are worthwhile .	neutral
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .	negative
i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .	negative
overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .	very positive
you live the mood rather than savour the story .	positive
the movie is so thoughtlessly assembled .	positive
here polanski looks back on those places he saw at childhood , and captures them by freeing them from artefact , and by showing them heartbreakingly drably .	neutral
some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	positive
it 's a very sincere work , but it would be better as a diary or documentary .	positive
while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .	negative
unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .	very positive
and it 's a lousy one at that .	very negative
it 's not too fast and not too slow .	positive
it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .	positive
it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .	positive
compellingly watchable .	very positive
despite some comic sparks , welcome to collinwood never catches fire .	negative
he may have meant the internet short saving ryan 's privates .	neutral
though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .	positive
not only does spider-man deliver , but i suspect it might deliver again and again .	very positive
it 's worth taking the kids to .	very positive
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .	neutral
without shakespeare 's eloquent language , the update is dreary and sluggish .	very negative
dense , exhilarating documentary .	positive
... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .	very negative
poignant if familiar story of a young person suspended between two cultures .	positive
a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .	neutral
methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .	very positive
this is amusing for about three minutes .	neutral
though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .	positive
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .	very positive
a metaphor for a modern-day urban china searching for its identity .	positive
it 's a square , sentimental drama that satisfies , as comfort food often can .	positive
the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .	positive
admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .	very positive
not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '	negative
an ugly-duckling tale so hideously and clumsily told it feels accidental .	very negative
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .	very negative
at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .	neutral
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?	very positive
this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	positive
more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine	negative
cho 's timing is priceless .	very positive
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .	positive
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	positive
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .	very positive
greengrass -lrb- working from don mullan 's script -rrb- forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .	neutral
nicholson 's understated performance is wonderful .	very positive
the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .	positive
it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .	negative
jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .	negative
jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .	neutral
... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .	negative
over and over again .	negative
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .	very positive
this bond film goes off the beaten path , not necessarily for the better .	negative
... its solemn pretension prevents us from sharing the awe in which it holds itself .	negative
the drama discloses almost nothing .	negative
a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .	negative
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .	very positive
but ` why ? '	neutral
like its parade of predecessors , this halloween is a gory slash-fest .	positive
perhaps the best sports movie i 've ever seen .	very positive
this pathetic junk is barely an hour long .	very negative
ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .	positive
this is a gorgeous film - vivid with color , music and life .	very positive
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .	positive
the trappings of i spy are so familiar you might as well be watching a rerun .	negative
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .	positive
leigh makes these lives count .	positive
igby goes down is one of those movies .	neutral
ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .	positive
the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .	positive
i could n't recommend this film more .	positive
an inexperienced director , mehta has much to learn .	negative
you can taste it , but there 's no fizz .	negative
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .	negative
a moving tale of love and destruction in unexpected places , unexamined lives .	positive
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .	positive
why ?	negative
and that is where ararat went astray .	negative
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .	positive
clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .	negative
sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	negative
it 's mostly a pleasure to watch .	positive
a bit too derivative to stand on its own as the psychological thriller it purports to be .	neutral
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .	positive
a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .	negative
i did n't find much fascination in the swinging .	negative
this is no `` waterboy ! ''	negative
but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .	very positive
a witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking .	neutral
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .	positive
the name says it all .	neutral
the kind of primal storytelling that george lucas can only dream of .	positive
it 's been 20 years since 48 hrs .	neutral
uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .	very positive
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .	very negative
it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .	very negative
he seems to want both , but succeeds in making neither .	negative
funny , though .	neutral
by turns fanciful , grisly and engagingly quixotic .	positive
the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .	positive
unofficially , national lampoon 's van wilder is son of animal house .	neutral
it never is , not fully .	neutral
it 's just a little too self-satisfied .	neutral
i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...	very negative
those who want to be jolted out of their gourd should drop everything and run to ichi .	positive
post 9\/11 the philosophical message of `` personal freedom first '' might not be as palatable as intended .	neutral
mr. deeds is , as comedy goes , very silly -- and in the best way .	very positive
this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...	positive
my little eye is the best little `` horror '' movie i 've seen in years .	very positive
the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .	negative
it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .	positive
suffers from a flat script and a low budget .	negative
the movie is well done , but slow .	negative
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .	neutral
the master of disguise is awful .	very negative
it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .	neutral
same song , second verse , coulda been better , but it coulda been worse .	neutral
the film is one of the year 's best .	very positive
that the chuck norris `` grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .	neutral
frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .	neutral
one of the year 's most weirdly engaging and unpredictable character pieces .	very positive
the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .	negative
the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .	very negative
`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .	negative
the most surprising thing about this film is that they are actually releasing it into theaters .	very negative
... one resurrection too many .	negative
oh , look at that clever angle !	positive
warmed-over hash .	neutral
no , i hate it .	very negative
for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .	positive
the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .	positive
the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .	very negative
the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .	positive
a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .	very positive
an hour and a half of joyful solo performance .	very positive
contrived pastiche of caper clichés .	negative
a triumph , a film that hews out a world and carries us effortlessly from darkness to light .	very positive
steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .	positive
kinnear 's performance is a career-defining revelation .	very positive
not only a reminder of how they used to make movies , but also how they sometimes still can be made .	positive
the dragons are the real stars of reign of fire and you wo n't be disappointed .	positive
if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .	very negative
for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .	very positive
scherfig , who has had a successful career in tv , tackles more than she can handle .	negative
really dumb but occasionally really funny .	neutral
this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .	negative
by the end of the movie , you 're definitely convinced that these women are spectacular .	positive
... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !	very negative
largely , this is a movie that also does it by the numbers .	neutral
the modern-day royals have nothing on these guys when it comes to scandals .	negative
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .	negative
it does n't really know or care about the characters , and uses them as markers for a series of preordained events .	negative
` opening up ' the play more has partly closed it down .	negative
even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .	positive
lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .	very negative
every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .	very positive
the imax screen enhances the personal touch of manual animation .	very positive
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .	negative
as pedestrian as they come .	very negative
why , you may ask , why should you buy the movie milk when the tv cow is free ?	negative
sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .	very negative
that 's fun for kids of any age .	very positive
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .	very positive
a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .	very positive
frank mcklusky c.i. is that movie !	neutral
a rip-roaring comedy action fest that 'll put hairs on your chest .	positive
the premise of jason x is silly but strangely believable .	positive
the modern-day characters are nowhere near as vivid as the 19th-century ones .	negative
chelsea walls is a case of too many chefs fussing over too weak a recipe .	negative
the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .	positive
plods along , minus the twisted humor and eye-popping visuals that have made miike ... a cult hero .	neutral
-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .	negative
contradicts everything we 've come to expect from movies nowadays .	positive
there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .	positive
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .	negative
the solid filmmaking and convincing characters makes this a high water mark for this genre .	very positive
the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .	very positive
and a very rainy day .	neutral
with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .	very positive
the film has a childlike quality about it .	neutral
a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .	neutral
gone are the flamboyant mannerisms that are the trademark of several of his performances .	neutral
funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .	very positive
every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .	very negative
unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .	negative
schrader examines crane 's decline with unblinking candor .	positive
count on his movie to work at the back of your neck long after you leave the theater .	neutral
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .	positive
you would n't want to live waydowntown , but it is a hilarious place to visit .	positive
the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .	very positive
there 's not one decent performance from the cast and not one clever line of dialogue .	very negative
translation : ` we do n't need to try very hard . '	negative
return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .	very positive
it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .	negative
in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .	neutral
caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .	positive
a captivating and intimate study about dying and loving ...	very positive
oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .	very negative
the world needs more filmmakers with passionate enthusiasms like martin scorsese .	very positive
the director seems to take an unseemly pleasure in -lrb- the characters ' -rrb- misery and at the same time to congratulate himself for having the guts to confront it .	negative
the history is fascinating ; the action is dazzling .	very positive
the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .	positive
i also believe that resident evil is not it .	negative
if only there were one for this kind of movie .	neutral
offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .	very positive
it may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .	neutral
meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .	very positive
while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .	very positive
not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .	very positive
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .	negative
death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .	negative
spielberg 's picture is smarter and subtler than -lrb- total recall and blade runner -rrb- , although its plot may prove too convoluted for fun-seeking summer audiences .	positive
hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .	negative
smaller numbered kidlets will enjoy .	positive
offers no new insight on the matter , nor do its characters exactly spring to life .	very negative
i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking .	negative
the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .	negative
the characters are more deeply thought through than in most ` right-thinking ' films .	positive
these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .	positive
with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard .	very negative
the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .	very negative
you see robin williams and psycho killer , and you think , hmmmmm .	neutral
cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but it 's still damn funny stuff .	positive
much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .	positive
one of the best looking and stylish animated movies in quite a while ...	very positive
the armenian genocide deserves a more engaged and honest treatment .	neutral
light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- it 's simply , and surprisingly , a nice , light treat .	very positive
it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .	positive
sayles ... once again strands his superb performers in the same old story .	negative
high crimes carries almost no organic intrigue as a government \/ marine\/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .	negative
nicole kidman makes it a party worth attending .	very positive
bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .	positive
the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .	positive
shatner is probably the funniest person in the film , which gives you an idea just how bad it was .	negative
this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .	very negative
there 's some outrageously creative action in the transporter ... -lrb- b -rrb- ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .	negative
for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .	positive
it might be ` easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience .	positive
new yorkers always seem to find the oddest places to dwell ...	neutral
-lrb- reno -rrb- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .	positive
rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .	positive
more good than great but freeman and judd make it work .	positive
it 's nice to see piscopo again after all these years , and chaykin and headly are priceless .	positive
never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .	positive
if the last man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .	negative
she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .	positive
this is an interesting movie ! ''	very positive
it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .	very negative
might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .	neutral
the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .	very negative
are monsters born , or made ?	neutral
the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .	very negative
only at the prospect of beck 's next project .	neutral
consider this review life-affirming .	neutral
like a can of 2-day old coke .	very negative
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .	positive
yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't .	very negative
rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .	neutral
jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .	neutral
that the film opens with maggots crawling on a dead dog is not an out of place metaphor .	negative
if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in ... and making you sweat .	positive
drumline ably captures the complicated relationships in a marching band .	positive
the entire cast is first-rate , especially sorvino .	very positive
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .	very negative
nothing about this movie works .	very negative
a solidly entertaining little film .	positive
if the movie were all comedy , it might work better .	neutral
-lrb- `` safe conduct '' -rrb- is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .	positive
although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .	positive
a hit - and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .	negative
this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery .	very positive
hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?	very negative
it makes compelling , provocative and prescient viewing .	very positive
a flawed but engrossing thriller .	positive
never comes together as a coherent whole .	negative
a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .	very negative
what sets ms. birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .	positive
like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand .	negative
it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout .	very positive
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .	very positive
not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .	very negative
i have to admit that i am baffled by jason x.	negative
the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .	positive
a rip-off twice removed , modeled after -lrb- seagal 's -rrb- earlier copycat under siege , sometimes referred to as die hard on a boat .	very negative
ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .	very positive
that 's muy loco , but no more ridiculous than most of the rest of `` dragonfly . ''	negative
but the movie that does n't really deliver for country music fans or for family audiences	very negative
if you answered yes , by all means enjoy the new guy .	positive
generates an enormous feeling of empathy for its characters .	positive
the low-key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love .	positive
those prone to indignation need not apply ; those susceptible to blue hilarity , step right up .	positive
now he makes them .	neutral
an intriguing look at the french film industry during the german occupation ; its most delightful moments come when various characters express their quirky inner selves .	positive
would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman . '	positive
if you like quirky , odd movies and\/or the ironic , here 's a fun one .	very positive
no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .	very negative
woody allen can write and deliver a one liner as well as anybody .	very positive
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .	neutral
the most consistently funny of the austin powers films .	positive
it 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen .	positive
the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible .	neutral
paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .	positive
the plot has a number of holes , and at times it 's simply baffling .	negative
most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .	neutral
the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine .	negative
amazingly lame .	very negative
not even felinni would know what to make of this italian freakshow .	very negative
but when it does , you 're entirely unprepared .	neutral
garcía bernal and talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .	positive
-- but certainly hard to hate .	positive
finely crafted , finely written , exquisitely performed	very positive
earnest but heavy-handed .	neutral
parker can not sustain the buoyant energy level of the film 's city beginnings into its country conclusion '	negative
ali 's graduation from little screen to big is far less painful than his opening scene encounter with an over-amorous terrier .	neutral
the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me .	positive
bacon keeps things interesting , but do n't go out of your way to pay full price .	neutral
a cockeyed shot all the way .	negative
clare peploe 's airless movie adaptation could use a little american pie-like irreverence .	negative
a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy .	very negative
a cutesy romantic tale with a twist .	positive
about one in three gags in white 's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .	negative
it plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting .	negative
give credit to everyone from robinson down to the key grip that this bold move works .	very positive
enough said , except : film overboard !	very negative
a suffocating rape-payback horror show that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers .	positive
while we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for blade ii .	positive
a collage of clichés and a dim echo of allusions to other films .	negative
combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why did n't hollywood think of this sooner ?	positive
if damon and affleck attempt another project greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about .	negative
the screenplay by james eric , james horton and director peter o'fallon ... is so pat it makes your teeth hurt .	negative
i 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .	negative
