tokens	pos_tags	chunk_tags	ner_tags	text	tags
['Several', 'other', 'items', 'have', 'been', 'reported', 'found', 'along', 'the', 'New', 'Jersey', 'shore', ',', 'most', 'of', 'it', 'such', 'personal', 'items', 'as', 'wallets', ',', 'shoes', 'and', 'jewelry', '.']	[16, 16, 24, 41, 40, 40, 40, 15, 12, 22, 22, 21, 6, 18, 15, 28, 12, 16, 24, 15, 24, 6, 24, 10, 21, 7]	[11, 12, 12, 21, 22, 22, 22, 13, 11, 12, 12, 12, 0, 11, 13, 11, 11, 12, 12, 13, 11, 0, 11, 0, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	Several other items have been reported found along the New Jersey shore, most of it such personal items as wallets, shoes and jewelry.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['He', 'also', 'told', 'Reuters', 'before', 'the', 'retailer', ""'s"", 'annual', 'meeting', 'that', 'the', 'second', 'quarter', 'could', 'be', 'better', 'than', 'the', 'first', 'quarter', 'ended', 'May', '4', '.', '""']"	[28, 30, 38, 22, 15, 12, 21, 27, 16, 21, 15, 12, 16, 21, 20, 37, 17, 15, 12, 16, 21, 40, 22, 11, 7, 0]	[11, 3, 21, 11, 13, 11, 12, 11, 12, 12, 17, 11, 12, 12, 21, 22, 1, 13, 11, 12, 12, 21, 11, 12, 0, 0]	[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"He also told Reuters before the retailer's annual meeting that the second quarter could be better than the first quarter ended May 4 . """	['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Aggregate', 'score', '2-2', '.']	[16, 21, 16, 7]	[11, 12, 3, 0]	[0, 0, 0, 0]	Aggregate score 2-2.	['O', 'O', 'O', 'O']
"['The', 'National', 'Basketball', 'Association', 'has', 'sued', 'America', 'Online', 'Inc', ',', 'alleging', 'that', 'the', 'United', 'States', ""'"", 'No', '1', 'on-line', 'service', 'is', 'delivering', 'real-time', 'information', 'about', 'league', 'games', 'without', 'its', 'permission', ',', 'The', 'Wall', 'Street', 'Journal', 'reported', 'on', 'Thursday', '.']"	[12, 22, 22, 22, 42, 40, 22, 22, 22, 6, 39, 15, 12, 22, 22, 27, 12, 11, 16, 21, 42, 39, 16, 21, 15, 21, 24, 15, 29, 21, 6, 12, 22, 22, 22, 38, 15, 22, 7]	[11, 12, 12, 12, 21, 22, 11, 12, 12, 0, 21, 17, 11, 12, 12, 11, 12, 12, 12, 12, 21, 22, 11, 12, 13, 11, 12, 13, 11, 12, 0, 11, 12, 12, 12, 21, 13, 11, 0]	[0, 3, 4, 4, 0, 0, 3, 4, 4, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 0, 0, 0, 0]	The National Basketball Association has sued America Online Inc, alleging that the United States' No 1 on-line service is delivering real-time information about league games without its permission, The Wall Street Journal reported on Thursday.	['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']
['The', 'side', 'from', 'northern', 'France', ',', 'forced', 'to', 'fight', 'an', 'uphill', 'battle', 'from', 'then', 'on', ',', 'pulled', 'level', 'thanks', 'to', 'Tony', 'Vairelles', 'in', 'the', 'eighth', 'minute', 'but', 'young', 'striker', 'Fabien', 'Lefevre', 'made', 'it', 'two', 'for', 'Montpellier', 'five', 'minutes', 'later', '.']	[12, 21, 15, 16, 22, 6, 40, 35, 37, 12, 16, 21, 15, 30, 30, 6, 38, 21, 24, 35, 22, 22, 15, 12, 16, 21, 10, 16, 21, 22, 22, 38, 28, 11, 15, 21, 11, 24, 30, 7]	[11, 12, 13, 11, 12, 0, 21, 22, 22, 11, 12, 12, 13, 11, 3, 0, 21, 11, 3, 13, 11, 12, 13, 11, 12, 12, 0, 11, 12, 12, 12, 21, 11, 12, 13, 11, 11, 12, 3, 0]	[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0]	The side from northern France, forced to fight an uphill battle from then on, pulled level thanks to Tony Vairelles in the eighth minute but young striker Fabien Lefevre made it two for Montpellier five minutes later.	['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O']
['Vogts', 'picked', 'no', 'new', 'players', 'for', 'the', 'squad', 'for', 'the', 'September', '4', 'game', 'in', 'Zabrze', '.']	[24, 38, 12, 16, 24, 15, 12, 21, 15, 12, 22, 11, 21, 15, 22, 7]	[11, 21, 11, 12, 12, 13, 11, 12, 13, 11, 12, 12, 12, 13, 11, 0]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	Vogts picked no new players for the squad for the September 4 game in Zabrze.	['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']
['According', 'to', 'U.N.', 'officials', 'and', 'diplomats', ',', 'Iraq', 'would', 'have', 'about', '$', '1.13', 'billion', 'to', 'spend', 'for', 'food', ',', 'medicine', 'and', 'other', 'goods', 'after', 'monies', 'for', 'a', 'reparations', 'fund', 'for', 'Gulf', 'War', 'victims', 'and', 'costs', 'for', 'U.N.', 'weapons', 'inspections', 'were', 'deducted', '.']	[39, 35, 22, 24, 10, 24, 6, 22, 20, 37, 30, 3, 11, 11, 35, 37, 15, 21, 6, 21, 10, 16, 24, 15, 24, 15, 12, 24, 21, 15, 22, 22, 42, 10, 42, 15, 22, 24, 24, 38, 40, 7]	[13, 13, 11, 12, 12, 12, 0, 11, 21, 22, 11, 12, 12, 12, 21, 22, 13, 11, 12, 12, 12, 12, 12, 17, 11, 13, 11, 12, 12, 13, 11, 12, 21, 22, 22, 17, 11, 12, 12, 21, 22, 0]	[0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]	According to U.N. officials and diplomats, Iraq would have about $1.13 billion to spend for food, medicine and other goods after monies for a reparations fund for Gulf War victims and costs for U.N. weapons inspections were deducted.	['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']
['--', 'London', 'Newsroom', '+44', '171', '542', '7717']	[8, 22, 22, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12, 12]	[0, 3, 4, 0, 0, 0, 0]	-- London Newsroom +44 171 542 7717	['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']
['Admira', '/', 'Wacker', '6', '0', '3', '3', '5', '10', '3']	[22, 34, 21, 11, 11, 11, 11, 11, 11, 11]	[11, 0, 11, 12, 12, 12, 12, 12, 12, 12]	[3, 4, 4, 0, 0, 0, 0, 0, 0, 0]	Admira / Wacker 6 0 3 3 5 10 3	['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Offers', 'were', 'around', 'a', 'dollar', 'a', 'tonne', 'higher', 'at', '$', '102', 'fob', 'ARA', 'but', 'bids', 'were', 'scarce', '.']	[28, 38, 15, 12, 21, 12, 16, 17, 15, 3, 11, 21, 22, 10, 24, 38, 16, 7]	[11, 21, 13, 11, 12, 11, 12, 12, 13, 11, 12, 12, 12, 0, 11, 21, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	Offers were around a dollar a tonne higher at $102 fob ARA but bids were scarce.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Scoreboard', 'on', 'the', 'last', 'day', 'of', 'the']	[30, 15, 12, 16, 21, 15, 12]	[3, 13, 11, 12, 12, 13, 11]	[0, 0, 0, 0, 0, 0, 0]	Scoreboard on the last day of the	['O', 'O', 'O', 'O', 'O', 'O', 'O']
['Penn', 'Treaty', 'terminates', 'acquisition', 'pact', '.']	[22, 22, 42, 21, 21, 7]	[11, 12, 21, 11, 12, 0]	[3, 4, 0, 0, 0, 0]	Penn Treaty terminates acquisition pact.	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']
['innings', 'at', '521-8', 'on', 'the', 'fourth', 'day', 'of', 'the', 'third', 'and', 'final', 'test']	[21, 15, 11, 15, 12, 16, 21, 15, 12, 16, 10, 16, 21]	[11, 13, 11, 13, 11, 12, 12, 13, 11, 12, 12, 12, 12]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	innings at 521-8 on the fourth day of the third and final test	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Results', 'from', 'the']	[24, 15, 12]	[11, 13, 11]	[0, 0, 0]	Results from the	['O', 'O', 'O']
['CBOT', 'rice', 'closes', 'higher', 'on', 'technical', 'bounce', '.']	[22, 21, 42, 17, 15, 16, 21, 7]	[11, 12, 21, 1, 13, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0]	CBOT rice closes higher on technical bounce.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['While', 'I', 'served', 'I', 'sought', 'to', 'avoid', 'the', 'limelight', 'because', 'I', 'did', 'not', 'want', 'to', 'become', 'the', 'message', '.']	[15, 28, 38, 28, 38, 35, 37, 12, 21, 15, 28, 38, 30, 37, 35, 37, 12, 21, 7]	[17, 11, 21, 11, 21, 22, 22, 11, 12, 17, 11, 21, 22, 22, 22, 22, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	While I served I sought to avoid the limelight because I did not want to become the message.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['The', 'combined', 'company', 'will', 'have', 'estimated', 'revenues', 'of', '$', '353', 'million', '.']	[12, 40, 21, 20, 37, 16, 24, 15, 3, 11, 11, 7]	[11, 12, 12, 21, 22, 11, 12, 13, 11, 12, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	The combined company will have estimated revenues of $353 million.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Doncaster', '3', '0', '1', '2', '1', '3', '1']	[22, 11, 11, 11, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12, 12, 12]	[3, 0, 0, 0, 0, 0, 0, 0]	Doncaster 3 0 1 2 1 3 1	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['These', 'are', 'the', 'leading', 'stories', 'in', 'the', 'Angolan', 'press', 'on', 'Friday', '.']	[12, 41, 12, 39, 24, 15, 12, 16, 21, 15, 22, 7]	[11, 21, 11, 12, 12, 13, 11, 12, 12, 13, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0]	These are the leading stories in the Angolan press on Friday.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O']
['A', 'KSE', 'statement', 'said', 'the', 'recomposed', 'index', 'would', 'be', 'more', 'representative', ',', 'capturing', 'market', 'capitalisation', 'of', '82.3', 'percent', ',', 'up', 'from', '79.9', 'percent', 'previously', '.']	[12, 22, 21, 38, 12, 40, 21, 20, 37, 17, 21, 6, 39, 21, 21, 15, 11, 21, 6, 30, 15, 11, 21, 30, 7]	[11, 12, 12, 21, 11, 12, 12, 21, 22, 11, 12, 0, 21, 11, 12, 13, 11, 12, 0, 3, 13, 11, 12, 3, 0]	[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	A KSE statement said the recomposed index would be more representative, capturing market capitalisation of 82.3 percent, up from 79.9 percent previously.	['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Albanian', 'authorities', 'have', 'arrested', 'and', 'charged', 'a', 'British', 'man', 'for', 'sexually', 'abusing', 'two', 'young', 'boys', ',', 'a', 'Tirana', 'prosecutor', 'said', 'on', 'Tuesday', '.']	[16, 24, 41, 40, 10, 38, 12, 16, 21, 15, 30, 39, 11, 16, 24, 6, 12, 22, 21, 38, 15, 22, 7]	[11, 12, 21, 22, 0, 21, 11, 12, 12, 13, 21, 22, 11, 12, 12, 0, 11, 12, 12, 21, 13, 11, 0]	[7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]	Albanian authorities have arrested and charged a British man for sexually abusing two young boys, a Tirana prosecutor said on Tuesday.	['B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']
['Pachuca', '3', 'Toluca', '0']	[22, 11, 21, 11]	[11, 12, 11, 12]	[3, 0, 3, 0]	Pachuca 3 Toluca 0	['B-ORG', 'O', 'B-ORG', 'O']
['AGROTONZ', 'TLUMACOV', '336.47', '336.47', '59440', '19999.777']	[22, 22, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12]	[3, 4, 0, 0, 0, 0]	AGROTONZ TLUMACOV 336.47 336.47 59440 19999.777	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']
['Stewart', 'Ginn', '(', 'Australia', ')', ',', 'Corey', 'Pavin', ',', 'Craig', 'Stadler', ',', 'Mark']	[22, 22, 4, 22, 5, 6, 22, 22, 6, 22, 22, 6, 22]	[11, 12, 0, 11, 0, 0, 11, 12, 0, 11, 12, 0, 11]	[1, 2, 0, 5, 0, 0, 1, 2, 0, 1, 2, 0, 1]	Stewart Ginn (Australia), Corey Pavin, Craig Stadler, Mark	['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER']
"['Chants', 'from', 'the', 'crowd', 'of', '""', 'Death', 'to', 'the', 'Arabs', '""', ',', 'and', 'bottle-throwing', 'during', 'the', 'game', 'marred', 'the', 'match', 'which', 'ended', 'in', 'a', 'goalless', 'draw', '.']"	[24, 15, 12, 21, 15, 0, 22, 35, 12, 23, 0, 6, 10, 16, 15, 12, 21, 40, 12, 21, 43, 38, 15, 12, 16, 21, 7]	[11, 13, 11, 12, 13, 0, 11, 13, 11, 12, 0, 0, 0, 11, 13, 11, 12, 21, 11, 12, 11, 21, 13, 11, 12, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"Chants from the crowd of "" Death to the Arabs "", and bottle-throwing during the game marred the match which ended in a goalless draw."	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['GOV', 'LAW', 'GERMAN', 'HOME', 'CTRY', '=', 'TAX', 'PROVS', 'STANDARD']	[22, 22, 22, 22, 22, 34, 21, 24, 38]	[11, 12, 12, 12, 12, 21, 11, 12, 21]	[0, 0, 7, 0, 0, 0, 0, 0, 0]	GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD	['O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']
['A', 'Public', 'Transport', 'Corporation', 'spokesman', 'said', 'the', 'train', ',', 'collided', 'with', 'the', 'truck', 'loaded', 'with', 'concrete', 'pylons', 'in', 'the', 'north', 'Melbourne', 'suburb', 'of', 'Preston', 'just', 'before', '8.30', 'a.m', '..']	[12, 22, 22, 22, 21, 38, 12, 21, 6, 40, 15, 12, 21, 40, 15, 16, 24, 15, 12, 21, 22, 21, 15, 22, 30, 15, 11, 30, 24]	[11, 12, 12, 12, 12, 21, 11, 12, 0, 21, 13, 11, 12, 21, 13, 11, 12, 13, 11, 12, 12, 12, 13, 11, 3, 13, 11, 12, 12]	[0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0]	A Public Transport Corporation spokesman said the train, collided with the truck loaded with concrete pylons in the north Melbourne suburb of Preston just before 8.30 a.m ..	['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']
['2.', 'Tom', 'Pukstys', '(', 'U.S.', ')', '84.20']	[22, 22, 22, 4, 22, 5, 11]	[11, 12, 12, 0, 11, 0, 11]	[0, 1, 2, 0, 5, 0, 0]	2. Tom Pukstys (U.S.) 84.20	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']
['Value', 'to', 'winner', ':', '72,464', 'pounds', 'sterling', '(', '$', '112,200', ')']	[21, 35, 21, 8, 11, 24, 21, 4, 3, 11, 5]	[11, 13, 11, 0, 11, 12, 12, 0, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	Value to winner: 72,464 pounds sterling ($112,200)	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Zenith', 'also', 'said', 'it', 'planned', 'to', 'build', 'a', 'new', '$', '100', 'million', 'plant', 'in', 'Woodridge', ',', 'Ill', '.']	[22, 30, 38, 28, 38, 35, 37, 12, 16, 3, 11, 11, 21, 15, 22, 6, 22, 7]	[11, 3, 21, 11, 21, 22, 22, 11, 12, 12, 12, 12, 12, 13, 11, 0, 11, 0]	[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0]	Zenith also said it planned to build a new $100 million plant in Woodridge, Ill.	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O']
['CAIRO', '1996-08-22']	[22, 11]	[11, 12]	[5, 0]	CAIRO 1996-08-22	['B-LOC', 'O']
"['Maybe', 'I', 'have', ""n't"", 'been', 'as', 'keyed', 'up', 'as', 'I', 'should', 'have', 'been', '.', '""']"	[30, 28, 41, 30, 40, 15, 40, 33, 15, 28, 20, 37, 40, 7, 0]	[3, 11, 21, 22, 22, 13, 21, 15, 17, 11, 21, 22, 22, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"Maybe I haven't been as keyed up as I should have been . """	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['37.', 'Greece', '7.89']	[22, 22, 11]	[11, 12, 12]	[0, 5, 0]	37. Greece 7.89	['O', 'B-LOC', 'O']
