tokens	ner_tags	text	tags	lang
['पेट्रोलियम', 'और', 'प्राकृतिक', 'गैस', 'मंत्री', 'ने', 'गुजरात', 'में', 'केरोसीन', 'के', 'लिए', 'डीबीटी', 'कार्यान्वयन', 'की', 'तैयारियों', 'की', 'समीक्षा', 'की']	[3, 4, 4, 4, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	पेट्रोलियम और प्राकृतिक गैस मंत्री ने गुजरात में केरोसीन के लिए डीबीटी कार्यान्वयन की तैयारियों की समीक्षा की	['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['गोस्वामी', 'पर', 'नई', 'सीबीआई', 'के', 'नई', 'दिल्ली', 'स्थित', 'दो', 'वरिष्ठ', 'अधिकारियों', 'को', 'शारदा', 'घोटाला', 'मामले', 'को', 'लेकर', 'फोन', 'करने', 'और', 'पूर्व', 'केंद्रीय', 'मंत्री', 'मतंग', 'सिंह', 'की', 'गिरफ्तारी', 'को', 'रोकने', 'की', 'कोशिश', 'करने', 'का', 'आरोप', 'था']	[1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	गोस्वामी पर नई सीबीआई के नई दिल्ली स्थित दो वरिष्ठ अधिकारियों को शारदा घोटाला मामले को लेकर फोन करने और पूर्व केंद्रीय मंत्री मतंग सिंह की गिरफ्तारी को रोकने की कोशिश करने का आरोप था	['B-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['उन्होंने', 'कहा', 'कि', 'राष्ट्र', 'निर्माण', 'में', 'बाबा', 'साहब', 'के', 'योगदान', 'के', 'लिए', 'देश', 'उनका', 'णी', 'है', '।']	[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	उन्होंने कहा कि राष्ट्र निर्माण में बाबा साहब के योगदान के लिए देश उनका णी है ।	['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['इस', 'अवसर', 'पर', 'महोत्सव', 'निदेशक', 'श्री', 'सी', '.', 'सेंथिल', 'राजन', 'ने', 'कहा', 'कि', 'पूर्वोत्तर', 'का', 'हमारे', 'देश', 'में', 'विशेष', 'स्थान', 'है', '।']	[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	इस अवसर पर महोत्सव निदेशक श्री सी. सेंथिल राजन ने कहा कि पूर्वोत्तर का हमारे देश में विशेष स्थान है ।	['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['इस', 'कार्यक्रम', 'में', 'अभिनेता', 'आमिर', 'खान', 'भी', 'मौजूद', 'थे', '।']	[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]	इस कार्यक्रम में अभिनेता आमिर खान भी मौजूद थे ।	['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']	hi
['हालांकि', 'वायर्स', 'में', '76', 'फीसदी', 'और', 'एफएएम', 'के', 'कारोबार', 'में', 'पिछले', 'साल', 'के', 'मुकाबले', '43', 'फीसदी', 'की', 'बढ़त', 'आई', 'है', '।']	[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	हालांकि वायर्स में 76 फीसदी और एफएएम के कारोबार में पिछले साल के मुकाबले 43 फीसदी की बढ़त आई है ।	['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['इस', 'फिल्म', 'का', 'निर्देशन', 'राधा', 'कृष्णा', 'ने', 'किया', 'है', '.']	[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]	इस फिल्म का निर्देशन राधा कृष्णा ने किया है.	['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']	hi
['पुरी', 'में', 'बसे', '।']	[5, 0, 0, 0]	पुरी में बसे ।	['B-LOC', 'O', 'O', 'O']	hi
['दिल्ली', 'सीएम', 'और', 'मंत्रियों', 'के', 'वाहन', 'को', 'छूट', 'नहीं', '।']	[3, 4, 4, 4, 0, 0, 0, 0, 0, 0]	दिल्ली सीएम और मंत्रियों के वाहन को छूट नहीं ।	['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['पेट्रोलियम', 'एवं', 'प्राकृतिक', 'गैस', 'मंत्रालय', 'श्री', 'धर्मेन्द्र', 'प्रधान', 'ने', 'अबू', 'धाबी', 'अंतर्राष्ट्रीय', 'पेट्रोलियम', 'प्रदर्शनी', 'और', 'सम्मेलन', 'में', 'इंडिया', 'पवेलियन', 'का', 'उद्घाटन', 'किया', 'केन्द्रीय', 'पेट्रोलियम', 'एवं', 'प्राकृतिक', 'गैस', 'और', 'इस्पात', 'मंत्री', 'श्री', 'धर्मेन्द्र', 'प्रधान', 'ने', 'आज', 'अबू', 'धाबी', 'अंतर्राष्ट्रीय', 'पेट्रोलियम', 'प्रदर्शनी', 'और', 'सम्मेलन', '(', 'एडीआईपीईसी', ')', 'में', 'इंडिया', 'पवेलियन', 'का', 'उद्घाटन', 'किया', '।']	[3, 4, 4, 4, 4, 4, 1, 2, 4, 0, 3, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 6, 0, 0, 0, 0]	पेट्रोलियम एवं प्राकृतिक गैस मंत्रालय श्री धर्मेन्द्र प्रधान ने अबू धाबी अंतर्राष्ट्रीय पेट्रोलियम प्रदर्शनी और सम्मेलन में इंडिया पवेलियन का उद्घाटन किया केन्द्रीय पेट्रोलियम एवं प्राकृतिक गैस और इस्पात मंत्री श्री धर्मेन्द्र प्रधान ने आज अबू धाबी अंतर्राष्ट्रीय पेट्रोलियम प्रदर्शनी और सम्मेलन ( एडीआईपीईसी ) में इंडिया पवेलियन का उद्घाटन किया ।	['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PER', 'I-PER', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O']	hi
['झंडेवालान', 'में', 'दिल्ली', 'मेट्रो', 'के', 'आगे', 'कूदकर', 'महिला', 'ने', 'खुदकुशी', 'की']	[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	झंडेवालान में दिल्ली मेट्रो के आगे कूदकर महिला ने खुदकुशी की	['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['साथ', 'ही', 'सीएनएन', 'के', 'संस्थापक', 'टेड', 'टर्नर', ',', 'टॉक', 'शो', 'चलाने', 'वाली', 'ओपरा', 'विंफ्रे', ',', 'डेल', 'टेक्नोलॉजीज', 'के', 'संस्थापक', 'माइकल', 'डेल', ',', 'पेपाल', ',', 'टेस्ला', 'और', 'स्पेसएक्स', 'के', 'सह', '-', 'संस्थापक', 'इलोन', 'मस्क', ',', 'फेसबुक', 'की', 'मुख्य', 'परिचालन', 'अधिकारी', 'शर्ली', 'सैंडबर्ग', ',', 'स्टारबक्स', 'के', 'मुख्य', 'कार्यकारी', 'अधिकारी', 'हॉवर्ड', 'स्कल्ज', ',', 'फेसबुक', 'के', 'सह', '-', 'संस्थापक', 'मार्क', 'जुकरबर्ग', 'का', 'नाम', 'भी', 'इस', 'सूची', 'में', 'है', '.']	[0, 0, 3, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 3, 4, 0, 0, 1, 2, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]	साथ ही सीएनएन के संस्थापक टेड टर्नर, टॉक शो चलाने वाली ओपरा विंफ्रे, डेल टेक्नोलॉजीज के संस्थापक माइकल डेल, पेपाल, टेस्ला और स्पेसएक्स के सह- संस्थापक इलोन मस्क, फेसबुक की मुख्य परिचालन अधिकारी शर्ली सैंडबर्ग, स्टारबक्स के मुख्य कार्यकारी अधिकारी हॉवर्ड स्कल्ज, फेसबुक के सह- संस्थापक मार्क जुकरबर्ग का नाम भी इस सूची में है.	['O', 'O', 'B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['भारतीय', 'रेल', 'जिलों', 'की', 'वास्तविक', 'जरूरतों', 'के', 'अनुसार', 'विशेष', 'श्रमिक', 'रेलगाड़ियां', 'चलाने', 'के', 'लिए', 'भी', 'तैयार', 'है', '।']	[3, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	भारतीय रेल जिलों की वास्तविक जरूरतों के अनुसार विशेष श्रमिक रेलगाड़ियां चलाने के लिए भी तैयार है ।	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['दोनों', 'मुंबई', 'एयरपोर्ट', 'पर', 'साथ', 'देखे', 'गए', '.']	[0, 5, 0, 0, 0, 0, 0, 0]	दोनों मुंबई एयरपोर्ट पर साथ देखे गए.	['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['इस', 'वर्ष', 'सब्सिडी', 'के', 'बिना', 'रिकॉर्ड', 'संख्या', 'में', 'दो', 'लाख', 'भारतीय', 'मुस्लिम', 'हज', 'जाएंगे', ':', 'मुख्तार', 'अब्बास', 'नकवी']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 2]	इस वर्ष सब्सिडी के बिना रिकॉर्ड संख्या में दो लाख भारतीय मुस्लिम हज जाएंगे : मुख्तार अब्बास नकवी	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']	hi
"['इस', 'अवसर', 'पर', 'गृह', 'राज्य', 'मंत्री', 'श्री', 'जी', '.', 'किशन', 'रेड्डी', 'ने', 'सेमिनार', 'के', 'उद्घाटन', 'सत्र', 'के', 'दौरान', 'काउंटर', '-', 'आईईडी', 'इनोवेटर', 'पुरस्कार', 'प्रदान', 'किये', 'तथा', ""'"", 'द', 'बोमशेल', ""'"", 'के', '30वें', 'संस्करण', 'का', 'विमोचन', 'भी', 'किया', '।']"	[0, 0, 0, 3, 4, 4, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	इस अवसर पर गृह राज्य मंत्री श्री जी. किशन रेड्डी ने सेमिनार के उद्घाटन सत्र के दौरान काउंटर- आईईडी इनोवेटर पुरस्कार प्रदान किये तथा ' द बोमशेल ' के 30वें संस्करण का विमोचन भी किया ।	['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['स्वास्थ्य', 'मंत्री', 'अनिल', 'विज', 'के', 'पास', 'इस', 'मामले', 'की', 'शिकायत', 'आई', 'थी', '।']	[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	स्वास्थ्य मंत्री अनिल विज के पास इस मामले की शिकायत आई थी ।	['O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['डॉ', '.', 'राणे', 'द्वारा', 'सिग्नल', 'में', 'दमदार', 'वृद्धि', 'के', 'कारण', 'ईपीआर', 'खोज', 'प्रणाली', 'की', 'संतृप्त', 'होती', 'है']	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]	डॉ. राणे द्वारा सिग्नल में दमदार वृद्धि के कारण ईपीआर खोज प्रणाली की संतृप्त होती है	['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['इस्लाम', 'सबसे', 'व्यापक', 'रूप', 'से', 'आयोजित', 'विश्वास', 'है', '।']	[5, 0, 0, 0, 0, 0, 0, 0, 0]	इस्लाम सबसे व्यापक रूप से आयोजित विश्वास है ।	['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['उनके', 'ख़िलाफ', 'सीबीआई', 'ने', 'मामला', 'दर्ज', 'कर', 'रखा', 'है', '.']	[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]	उनके ख़िलाफ सीबीआई ने मामला दर्ज कर रखा है.	['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['संसद्मेंश्नी', 'कपिल', 'सिब्बल', ',', 'वरिष्ठ', 'अधिवक्ता', 'द्वारा', 'उनका', 'प्रतिनिधित्व', 'किया', 'गया', 'था', '।']	[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	संसद्मेंश्नी कपिल सिब्बल, वरिष्ठ अधिवक्ता द्वारा उनका प्रतिनिधित्व किया गया था ।	['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['धनबाद', 'विधानसभा', 'सीट', 'झारखंडके', 'धनबाद', 'जिले', 'में', 'आती', 'है', '।']	[5, 6, 0, 0, 5, 0, 0, 0, 0, 0]	धनबाद विधानसभा सीट झारखंडके धनबाद जिले में आती है ।	['B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']	hi
