text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9
great food , good size menu , great service and an unpretensious setting	food	positive	great	good	menu	positive	service	positive			great														
go here for a romantic dinner but not for an all out wow dining experience	dinner	positive	romantic	wow	dining	positive																			
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds	dosa	neutral																							
wine list selection is good and wine-by-the-glass was generously filled to the top	wine list selection	positive	good	generously	wine-by-the-glass	positive																			
with the great variety on the menu , i eat here often and never get bored	menu	positive	great																						
the menu is very limited - i think we counted 4 or 5 entrees	menu	negative	limited																						
the menu is limited but almost all of the dishes are excellent	menu	negative	limited		dishes	positive																			
not too crazy about their sake martini	sake martini	negative	crazy																						
great bagels , spreads and a good place to hang out in	bagels	positive	great	good	spreads	positive																			
this place is a great bargain			great																						
we happened upon this place purely by accident and were pleased with the results			pleased																						
unfortunately , the food is outstanding , but everything else about this restaurant is the pits	food	positive	outstanding																						
we always have a delicious meal and always leave feeling satisfied	meal	positive	delicious																						
dip the ingredients in with your chopsticks , swirl them around , and eat	ingredients	neutral			chopsticks	neutral																			
first went here to enjoy their garden terrace	garden terrace	positive	enjoy																						
everyone i have spoken too there is super friendly , helpful , and willing to the extra mile for a customer			friendly	helpful																					
the pizza was pretty good and huge	pizza	positive	good																						
the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei	cuisine	neutral	different																						
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones			best																						
they are often crowded on the weekends but they are efficient and accurate with their service	crowded	negative	crowded	efficient							accurate														
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat	grilled branzino	negative	difficult																						
the wait staff is friendly , and the food has gotten better and better !	wait staff	positive	friendly	better	food	positive					better														
right off the l in brooklyn this is a nice cozy place with good pizza	place	positive	cozy	good																					
i also ordered for delivery and the restaurant forgot half the order	delivery	negative	forgot																						
the strong scents coming from the left and right of me negatively affected my taste buds	scents	negative	strong																						
we had the lobster sandwich and it was fantastic	lobster sandwich	positive																							
had we been stalling i could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a check yet !	check	negative																							
though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them	spider roll	conflict	challenge	well worth	shell crab	positive	price	positive																	
i have tried to make reservations , but both times , the hostess did n't have my name	reservations	neutral			hostess	negative																			
their tuna tartar appetizer is to die for	tuna tartar appetizer	positive	die for																						
this was one of the best restaurants i 've ever been to			best																						
an oasis of refinement food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups	food	conflict	uneven	evident	cuisine	positive	chef	positive	kitchen	positive		fish dishes	positive												
i love indian food and consider myself to be quite an expert on it	indian food	positive	love																						
some baby pizzas get their wish	baby pizzas	neutral																							
plenty of choices to make your own creation			plenty																						
it was tiny and i felt like i was eating in someone 's living room			tiny																						
overall a oh ya even though there is waiting it is deff worth it	waiting	negative	worth																						
vt is what baby pizzas hope to be when they grow up	baby pizzas	neutral																							
from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible	service	negative	terrible	bland	food	negative	managers	negative			unaccommodating														
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for four dollars	food	positive	great	tasty	food	positive					cheap														
the last time i went we were seated at a table in a corridor next to the kitchen	table	negative																							
good selection of wines ranging from affordable to high end	selection of wines	positive	good																						
nice restaurant overall , with classic upscale italian decor	italian decor	positive	nice	upscale																					
the entire dining experience was wonderful !	dining experience	positive	wonderful																						
the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they 're going to be in town	wine selection	positive	wonderful	recommend	reservation	neutral																			
service is highly refined our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress	service	positive	refined	delayed	reservation	negative	maitre	positive																	
order the panang duck , it 's fantastic	panang duck	positive																							
other than the crappy service from two individuals , it 's great	service	negative	crappy																						
they have authentic indian at amazin prices	indian	positive	authentic																						
there 's nice and quiet , small but enough for 6 ( or more )			nice	quiet							small							enough							
ambiance - relaxed and stylish	ambiance	positive	relaxed																						
i 've never felt more unwelcome than last month at jimmy 's bronx cafe			unwelcome																						
luckily we saved room for the bbq salmon , sea bass and crispy duck	bbq salmon	positive			sea bass	positive	crispy duck	positive																	
yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right	ingredients	positive	fancy	fancy	ingredients	positive	pizza	negative	crust	neutral	good														
and yes dal bukhara is so dam good and so are all the kababs	dal bukhara	positive	good																						
i look forward to eating here again	eating	positive	look forward																						
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price	meal	positive	comfortable	good							fair														
a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy	glass of leaping lizard	positive			glass of prosecco	positive	mussels	positive																	
food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene	food	neutral	average	awful	creme brulee	negative	sugar	negative			charred														
the food always tastes fresh and served promptly	food	positive	fresh		served	positive																			
the pizza here is delicious	pizza	positive																							
pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick !	pizza	positive	great	quick	garlic knots	positive	delivery	positive																	
for great chinese food nearby , you have wu liang ye and grand sichuan just a block away	chinese food	positive	great																						
i have never been disappointed in the red eye			disappointed																						
hats off to the chef			hats off																						
service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique-seeming teapot , for one ) in the restaurant experience	service	negative	improved	antique-seeming	teapot	positive																			
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's	pizza	positive	delicious	fresh	fresh mozzarella	positive	cheese	negative			cheap							frozen	shredded						
its an excellent place to relax and the food is one of the best in the city of new york	place	positive	excellent	best	food	positive																			
service is friendly , and never had a problem walking in and getting a table	service	positive	friendly	problem	getting a table	positive																			
the food was bland oily	food	negative	bland oily																						
what is even better , is that the prices are very affordable as well , and the food is really good	prices	positive	better	affordable	food	positive																			
the fish is fresh but the variety of fish is nothing out of ordinary	fish	positive	fresh		variety of fish	negative																			
and kruno , the beverage manager is the best bartender i have yet to come across	beverage manager	positive	best		bartender	positive																			
the food , drinks and service are clearly among the best in the city	food	positive	best		drinks	positive	service	positive																	
i went there in late afternoon for some bite size food and refleshment with my date	food	neutral			refleshment	neutral																			
it 's a really great deal , considering we got full off of four dollars			great																						
last time i went here , the waitress did n't come back after taking our order	waitress	negative																							
eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience	atmosphere	positive	saves	disappointing																					
granted the space is smaller than most , it is the best service you will find in even the largest of restaurants	space	negative	smaller	best	service	positive																			
have recommended the place to friends , always gets good response			recommended	good																					
i love the atmorphere peep !	atmorphere	positive	love																						
enjoy !			enjoy																						
this is one of my favorite restaurants and it is not to be missed			favorite																						
the other night we had the 30 three course meal and everything was delicious - if i could of licked the plate clean i would of	three course meal	positive	delicious																						
even after getting pushed out by the no-class famous ray 's , sal has risen again to carry on his father 's uncle 's legacies with a smile , true love for his community , and let 's not forget the outstanding pizza !	pizza	positive	outstanding																						
it 's a rather cramped and busy restaurant and it closes early			cramped	busy																					
the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could	environment	positive	romantic	horrible	food	negative	service	negative			pathetic														
we had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well	crawfish boiled	positive	fun	tasty																					
what came to our table was burned beyond recognition and stringy	table	neutral	burned																						
i had the pad thai and the noodles were sticky	pad thai	negative			noodles	negative																			
so i 've never actually been to m proper , but i 've had it delivered a few times	delivered	neutral																							
among all of the new 5th avenue restaurants , this offers by far one of the best values for your money	values for your money	positive	best																						
frankly , when you compare what you can have here for lunch , versus mcds or so many other sandwich shops in the city , there is no comparison	lunch	positive																							
the hostess is rude to the point of being offensive	hostess	negative	rude																						
succulent steaks cooked precisely to your desired 'doneness ' accompanied by salads and sides that do n't look like leafy road kill	steaks	positive	desired	leafy	salads	positive	sides	positive																	
lunch came with pickels and slaw , no extra charge	lunch	positive			pickels and slaw	neutral																			
decent wine at reasonable prices	wine	positive	decent	reasonable																					
all conveniently delivered right to the door	delivered	positive	conveniently																						
nice family owned traditional restaurant			nice																						
this dish is my favorite and i always get it when i go there and never get tired of it	dish	positive	favorite																						
i also ordered the change mojito , which was out of this world	change mojito	positive	out of this world																						
okay service			okay																						
the only thing more wonderful than the food ( which is exceptional ) is the service	food	positive	wonderful	exceptional																					
the food was just awful , atrocious actually	food	negative	awful	atrocious																					
the anti-pasta was excellent , especially the calamari , as were the filling pasta mains	anti-pasta	positive	excellent		calamari	positive	filling pasta mains	positive																	
the waitress suggested glasses of wine that went very well with the food	waitress	positive	well		glasses of wine	positive																			
we are very particular about sushi and were both please with every choice which included ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura	sushi	positive	please		ceviche mix ( special )	positive	crab dumplings	positive	assorted sashimi	positive		sushi	positive	rolls	positive	sake	positive			banana tempura	positive				
try their plain pizza with fresh garlic or eggplant	plain pizza	positive	fresh		garlic	positive																			
ok , so the servers wander around a little clueless , but there 's more than enough servers for the crowd they get -- it 's fine , you just have to make a small effort to get their attention	servers	negative	clueless		servers	conflict																			
good luck getting a table	getting a table	negative																							
the service is awful	service	negative																							
the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i ca n't wait !	takeout menu	positive	expanded	more	menu	positive	italian dishes	positive																	
trust me , it will be great , and all of it will be devoured in no time			great																						
amma has the worst value for money i have experienced in nyc over the past 2 years			worst																						
i think this would be a pretty good spot if it were not so overpriced and overrated			good	overpriced																					
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes	hostess	positive																							
the pizza is good though	pizza	positive	good																						
bottles of wine are cheap and good	bottles of wine	positive	cheap																						
you will not be disapointed at all			disapointed																						
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini	beers	positive	different	happy	food	positive	dish	positive	pumkin tortelini	positive	delicious							recommend							
they did n't give us the dinner special until we asked for it	dinner special	negative																							
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert	crabmeat lasagna	positive	out of this world		chocolate bread pudding	positive																			
word of advice , save room for pasta dishes and never leave until you 've had the tiramisu	pasta dishes	positive																							
very good service and very good prices	service	positive	good	good																					
i recently went to this restaurant with some co-workers for lunch and had an amazing time	lunch	neutral	amazing																						
the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs	service	positive	impeccable	unobtrusive	staff	positive	menu	neutral	meal	neutral															
our food was great too !	food	positive	great																						
the most annoying thing , though , is the fact that the servers seem to be trained to drive revenue	servers	negative	annoying																						
get your food to go , find a bench , and kick back with a plate of dumplings	food	neutral			plate of dumplings	positive																			
please try the filet mignon , its just the most tender piece ever	filet mignon	positive	tender																						
everything we had was pretty good , but we have only been there once			good																						
we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the 2 was gone the people next to us said the bartender took it	bar	neutral			sangria	neutral	bar	neutral	bartender	negative															
the sake menu should not be overlooked !	sake menu	positive	overlooked																						
the drinks are amazing and half off till 8pm	drinks	positive	amazing																						
i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good	beef cubes	positive																							
with so many poor experiences to be had in the theater district , is truly an excellent find !			excellent																						
this has got to be one of the most overrated restaurants in brooklyn			overrated																						
it was rather pathetic that it took them over an hour to seat us			pathetic																						
we were seated promptly as we had reservations , however after that the service was slow	reservations	positive	promptly		service	negative																			
suan was a recommendation that i am glad we heeded			glad																						
the food was pretty good , but a little flavorless and the portions very small , including dessert	food	conflict	good	flavorless	portions	negative					small														
it is set far from the small street it 's on , and there is no traffic noise	traffic noise	positive																							
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there	food	positive	comparable																						
however , it 's not worth a special trip			worth																						
nice value			nice																						
and it was quick which is very important			quick																						
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates	dinner meeting	neutral	nice	good																					
all the nyu students love this place so it makes for a fun young atmosphere			love	young																					
the food here does a great service to the name ( cantonese that is )	food	positive	great		cantonese	positive																			
but , nothing stands out about the cooking			nothing stands out																						
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere	food	positive	cool	decent							colorful							relaxed							
the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality )	prix fixe menu	positive	worth	more than enough	quantity	positive	quality	positive																	
i 've been here 3 times for lunch and it is one of my favorites in the city	lunch	neutral	favorites																						
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was	eggs benedict	negative	worst	failed	brunch	neutral	hollondaise sauce	negative																	
i work near-by , and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item	oatmeal	positive	best																						
always busy but fast moving			busy	fast moving																					
the food was really good , i had the onion soup and it was one of the best ever	food	positive	good	best	onion soup	positive																			
overall , a solid restaurant and at less than 40pp ( including wine ) , a solid deal as well	wine	neutral	solid	solid																					
since it literally is a complete hole in the wall , it 's a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - do n't hesitate to ask for help with what to get	staff	positive	intimidating	friendly																					
it melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery			perfect	fishy							creamy														
when he finally did , he was unable to make a gin and tonic -- could n't find tonic	gin and tonic	neutral	unable																						
the dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should ( also note lack of chinese here )	dim sum	negative	ok	fresh	little dishes	negative					steamy hot														
the service is ok , some of the people did n't get what they asked for	service	neutral	ok																						
if you want good authentic thai this place is not the place to go	thai	negative	authentic																						
i recommend getting a reservation even though we saw people seated without one	reservation	neutral	recommend																						
the only thing i moderately enjoyed was their grilled chicken special with edamame puree	grilled chicken special with edamame puree	neutral	enjoyed																						
if you want some roast duck , pork or chicken on rice with ginger , try them out !	roast duck	positive			pork	positive	chicken on rice with ginger	positive																	
you order from a menu , so you leave feeling like you missed the full experience	menu	negative																							
one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown			authentic	best																					
we love th pink pony			love																						
staff is very accomodating	staff	positive																							
yourself a favor and have dinner here and see if you dont agree with me	dinner	neutral																							
definitely a great spot for a nice occasion or date			great	nice																					
very popular style izakaya ( sake and small portion of sake-friendly dishes )	sake	positive	popular	small	portion	neutral	dishes	positive			sake-friendly														
not pretentious and very economical			pretentious																						
the food was terrific and the service classy , attentive , without being overbearing	food	positive	terrific	classy	service	positive					attentive														
fresh ingredients and everything is made to order	ingredients	positive	fresh																						
we have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them	meal	positive	problems	quickly	tip	positive	food	positive																	
they are tasty , but i suggest only eating one with meat because they tend not to mesh that well with the average american digestive system	meat	neutral	tasty																						
somewhat pricey but what the heck			pricey																						
try the hot dogs too , they 're snappy and delicious	hot dogs	positive	snappy																						
delivery is fast too	delivery	positive	fast																						
the noise level was unbearable , conversation impossible	noise level	negative	unbearable																						
personal pans are the perfect size for those hungry nights	personal pans	positive	perfect																						
highly recommended is the spicy fried clam rolls and spider rolls	spicy fried clam rolls	positive	recommended		spider rolls	positive																			
one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way	menu	positive	positive																						
the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon	atmosphere	positive	great	inexpensive																					
odd for ave b , not just odd , the place attracts an eclectic crowd to say the least	place	positive	odd	odd																					
just got back from lunch at tamarind and it was excellent	lunch	positive																							
head and shoulders above its neighboors on east 6 st , taj mahal is also very comparable , in food quality , to the much overpraised ( and underdeserving ) baluchi 's	food quality	positive	comparable																						
the man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving ( mean while there were boths open all around )	man	negative			table	neutral	table	negative																	
try the cheesecake !	cheesecake	positive																							
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were	food	negative	subpar	wrong	manager	negative	employees	negative	containers for condiments	negative	expensive	containers	neutral												
great indian food and the service is incredible	indian food	positive	great		service	positive																			
rosario 's is without a doubt one of the greatest pizzerias in existence			greatest																						
decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well	decor	positive	nice	minimalist	food	positive	wine list	positive	food	neutral	simple							well							
i had the salmon dish and while it was fine , for the price paid , i expected it to have some type of flavor	salmon dish	conflict	fine		price	neutral																			
we ordered a tuna melt - it came with out cheese which just made it a tuna sandwich	tuna melt	negative			cheese	neutral	tuna sandwich	negative																	
we generally like good restaurants and eat out often but kai was way to expensive for what we got			expensive																						
what a great place			great																						
do n't eat here unless you 're starving for thai food and you work next door	thai food	negative																							
this tiny williamsburg spot is always pleasantly surprising			pleasantly surprising																						
for the people who want great food plus great service , roxy is a place to avoid !	food	negative	great	great	service	negative					avoid														
i had the best ravioli ever	ravioli	positive	best																						
ive been here a bunch of times now and the service is always outstanding	service	positive																							
the bill is approximately 25 for 2 at lunch without drinks	bill	neutral			lunch	neutral																			
the food is great , service is ok	food	positive	great		service	neutral																			
the overall price tag was very very expensive , something i did expect	price tag	negative	expensive																						
spice is great thai food , love the inexpensive appetizers	thai food	positive	great	love							inexpensive														
the service was attentive	service	positive																							
great idea and base for restaurant , but work on the details , people who think this was good need to go back to the shore towns and rethink what it should have tasted like			great	good																					
when you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside	main dining room	positive	spectacular	hand-painted	ceiling	positive																			
we visited bread bar during january restaurant week and were so pleased with the menu selections and service	menu selections	positive	pleased																						
also make sure you pay attention to the music being piped in - quite a weird selection	music	neutral	weird																						
you could get a much better dining experience for the same amount of money in a lot of other french bistros			better																						
the establishment scores big points in presentation and style	establishment	positive	big points																						
the rest of the dim sum , though pricey by chinatown standards , is worth it	dim sum	conflict	pricey	worth																					
the wait staff is very friendly , if not overly efficient	wait staff	positive	friendly	overly efficient																					
the dim sum however was very good	dim sum	positive																							
it 's better than being on the roof of sutton place with 19 year old interns jabbing you in the ribs all night			better																						
service has always been friendly and efficient	service	positive	friendly																						
went there and had a combination of different seafood dishes and appetizers	seafood dishes	neutral																							
its a great place for a casual date or to entertain clients for lunch			great																						
the table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived	grapes	neutral	overdue		bottle of wine	neutral																			
prices are very good	prices	positive																							
we could not catch our waiter 's eye , and he ignored us	waiter	negative																							
fantastic place			fantastic																						
plain and simple it 's bad thai food	thai food	negative	plain	simple							bad														
while certain staples are excellent ( the burger , some of the pastas ) , the food is not really the point	staples	positive	excellent		burger	positive	pastas	positive	food	neutral															
the dim sum was so-so , but not spectacular	dim sum	neutral	so-so																						
the food was so-so	food	neutral																							
the place is larger than most and features adequate seating unlike most joints , and has a bar which deserves a mention	place	positive	larger	adequate	seating	positive	bar	positive			deserves														
threw my fiance 's surprise 30th birthday dinner here could n't be happier	dinner	neutral																							
food -awesome	food	positive																							
good music , great food , speedy service affordable prices	music	positive	good	great	food	positive	service	positive			speedy							affordable							
the lobster sandwich is 24 and although it was good it was not nearly enough to warrant that price	lobster sandwich	conflict	good	enough																					
may , the owner always has a smile on her and will warmly greet you	owner	positive	warmly																						
the sides were ok and incredibly salty	sides	negative	ok																						
for some reason , all the seafood on the menu was unavailable except for the salmon	seafood	negative	unavailable		menu	negative																			
not a large place , but it 's cute and cozy	place	conflict	large	cute																					
the beverages were excellent , and the dessert was good	beverages	positive	excellent		dessert	positive																			
the hostess and the waitress were incredibly rude and did everything they could to rush us out	hostess	negative	rude		waitress	negative																			
next time , we would n't dare ordering anything else other than some simple asian appetizers and drinks	asian appetizers	positive	simple																						
please if your thinking about it go , and stay the wait you wo n't be disappointed	wait	negative																							
i must say the view of nyc is so beautiful !	view	positive	beautiful																						
if you 'd like to have a nice light meal with an asian accent , long tan is a good place on the slope	meal	positive	nice	good																					
for all you lazy folks that do n't want to come to alphabet city , i say , good - stay out			good																						
otherwise , this place has great service and prices and a nice friendly atmosphere	service	positive	great	friendly	prices	positive																			
highly recommend this as great value for excellent sushi and service	value	positive	recommend	great	sushi	positive					excellent														
this place would be so much better served by being run by a group that actually understands customer service	served	negative	better																						
a++ the service was good to excellent along with the attitude	service	positive	good	excellent																					
the food is awesome - definitely try the striped bass	food	positive	awesome		striped bass	positive																			
black white shakes came out good also	black white shakes	positive	good																						
it 's simply the best meal in nyc	meal	positive	best																						
the seating was if they were trying to get the maximum amount of people into the restaurant , so be nice to your neighbor when you dine here	seating	negative																							
i ordered the chu chu curry and my friend ordered the pad thai chicken	chu chu curry	neutral			pad thai chicken	neutral																			
we go on mondays for the prix fixe and our experience with the food has been comparable to blue ribbon	prix fixe	neutral	comparable		food	neutral																			
tuk tuk is my second favorite neighborhood thai place ( the first being joya )			favorite																						
however , they 've got the most amazing pastrami and the soups hit the spot	pastrami	positive	amazing	hit the spot	soups	positive																			
this is some really good , inexpensive sushi			good	inexpensive																					
my personal favorite is an everything bagel with lox spread , but all the bagles are unbeliavably good	bagel with lox spread	positive	favorite		bagles	positive																			
i would n't even have complained at all if the food at least tasted good but the quality of food was crappy , too	food	negative	good	crappy	quality of food	negative																			
for the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated	lobby area	negative	crowded																						
the pizza is delicious and the proprietor is one of the nicest in nyc	pizza	positive	delicious	nicest	proprietor	positive																			
also good for client lunch meetings , esp	lunch meetings	neutral	good																						
the decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices	decor	positive	dark	cool	food 's presentation	positive					soothing							spectacular	low						
the waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal	waitstaff	positive	nice	enjoyed	swordfish	positive																			
the setting is casual and romantic	setting	positive	casual																						
terrible , terrible management - deserves to be shut-down	management	negative	terrible	terrible																					
the desserts are more appealing then stuffy overpriced french restaurants	desserts	positive	appealing	overpriced																					
the italian food has flavor ( that can be sort of surprising on the ues ) , and the service turns from a nightmare to attentive , they sort of remind me of the ny yankees of the late 90 's , no matter how bad it look , you knew that there was a rally just around the corner	italian food	positive	surprising	attentive	service	conflict					bad														
i found the food to be outstanding , particulary the salmon dish i had	food	positive	outstanding		salmon dish	positive																			
mizu is home to creative and unique rolls not to found anywhere else	rolls	positive	creative	unique																					
baluchi 's has solid food and a nice decor at reasonable prices	food	positive	solid	nice	decor	positive					reasonable														
emilio , the owner , is often sitting in the front table greeting guests as they come and go	owner	positive																							
i have been to spice three times- twice during lunch and once at dinner	lunch	neutral																							
moules were excellent , lobster ravioli was very salty !	moules	positive	excellent	salty	lobster ravioli	negative																			
i came to this restaurant expecting to be surprised but left bored and overcharged			bored																						
a cheap eat for nyc , but not for dosa	eat	positive	cheap																						
